source TotalCurrent(IdVg_n5_des) X,source TotalCurrent(IdVg_n5_des) Y
0.003,1.3377292e-17
0.006568,-8.4392007e-18
0.010830571,-1.0645896e-17
0.015922922,-9.6601628e-18
0.022006584,-1.4135189e-17
0.029274532,1.4515037e-17
0.037957308,9.1852125e-18
0.04833033,-5.1460357e-18
0.060722635,-9.7933319e-18
0.075527308,-2.8653793e-17
0.090527308,-1.6901005e-17
0.10552731,-1.615435e-17
0.12052731,-5.4049123e-17
0.13552731,-7.5000779e-17
0.15052731,-6.9966249e-17
0.16552731,-1.3785273e-16
0.18052731,-1.5984141e-16
0.19552731,-1.8959861e-16
0.21052731,-2.5530365e-16
0.22552731,-3.8432186e-16
0.24052731,-4.7431918e-16
0.25552731,-6.1249123e-16
0.27052731,-8.7030741e-16
0.28552731,-1.1820255e-15
0.30052731,-1.5906188e-15
0.31552731,-2.1784111e-15
0.33052731,-2.9893644e-15
0.34552731,-4.0722513e-15
0.36052731,-5.5602197e-15
0.37552731,-7.6112e-15
0.39052731,-1.0455845e-14
0.40552731,-1.438886e-14
0.42052731,-1.9753239e-14
0.43552731,-2.7151425e-14
0.45052731,-3.7396349e-14
0.46552731,-5.1514112e-14
0.48052731,-7.0956542e-14
0.49552731,-9.7887377e-14
0.51052731,-1.3511801e-13
0.52552731,-1.865558e-13
0.54052731,-2.5740087e-13
0.55552731,-3.5577149e-13
0.57052731,-4.9202486e-13
0.58552731,-6.8062558e-13
0.60052731,-9.4191465e-13
0.61552731,-1.3039265e-12
0.63052731,-1.8053545e-12
0.64552731,-2.4998939e-12
0.66052731,-3.4615767e-12
0.67552731,-4.7927351e-12
0.69052731,-6.6339386e-12
0.70552731,-9.1786733e-12
0.72052731,-1.2692119e-11
0.73552731,-1.7536158e-11
0.75052731,-2.4204157e-11
0.76552731,-3.3364663e-11
0.78052731,-4.5920433e-11
0.79552731,-6.308405e-11
0.81052731,-8.6475212e-11
0.82552731,-1.1824573e-10
0.84052731,-1.6123552e-10
0.85552731,-2.1916973e-10
0.87052731,-2.9690146e-10
0.88552731,-4.0071064e-10
0.90052731,-5.3866772e-10
0.91552731,-7.2107073e-10
0.93052731,-9.6096846e-10
0.94552731,-1.2747763e-09
0.96052731,-1.6829964e-09
0.97552731,-2.2110449e-09
0.99052731,-2.8901896e-09
1.0055273,-3.7585862e-09
1.0205273,-4.8623915e-09
1.0355273,-6.2569053e-09
1.0505273,-8.0076607e-09
1.0655273,-1.0191336e-08
1.0805273,-1.2896307e-08
1.0955273,-1.6222609e-08
1.1105273,-2.0281049e-08
1.1255273,-2.519125e-08
1.1405273,-3.1078569e-08
1.1555273,-3.8070086e-08
1.1705273,-4.6290221e-08
1.1855273,-5.5856772e-08
1.2005273,-6.6878152e-08
1.2155273,-7.9452248e-08
1.2305273,-9.3666825e-08
1.2455273,-1.0960096e-07
1.2605273,-1.2732683e-07
1.2755273,-1.4691136e-07
1.2905273,-1.6841748e-07
1.3055273,-1.9190488e-07
1.3205273,-2.1743039e-07
1.3355273,-2.4504815e-07
1.3505273,-2.7480959e-07
1.3655273,-3.0676335e-07
1.3805273,-3.4095522e-07
1.3955273,-3.7742805e-07
1.4105273,-4.1622174e-07
1.4255273,-4.5737317e-07
1.4405273,-5.0091632e-07
1.4555273,-5.468822e-07
1.4705273,-5.95299e-07
1.4855273,-6.4619212e-07
1.5,-6.9766474e-07
