drain TotalCurrent(IdVg_R1_n20_des) X,drain TotalCurrent(IdVg_R1_n20_des) Y
0,4.164838e-17
0.005,-1.3029362e-17
0.01,4.0840729e-17
0.015,6.0667179e-18
0.02,6.0455989e-17
0.025,4.1165044e-17
0.03,3.2704772e-17
0.035,3.2767831e-17
0.04,3.2302528e-17
0.045,4.1134586e-17
0.05,2.9693452e-17
0.055,4.1520233e-17
0.06,6.0535103e-18
0.065,4.1859861e-17
0.07,7.259102e-17
0.075,4.9709768e-17
0.08,5.9060608e-17
0.085,6.7561191e-17
0.09,1.9843383e-17
0.095,4.563501e-17
0.1,9.556928e-17
0.105,9.5865113e-17
0.11,9.2876126e-17
0.115,1.2729931e-16
0.12,1.6158147e-16
0.125,9.7868504e-17
0.13,1.4972627e-16
0.135,2.0573636e-16
0.14,1.913113e-16
0.145,1.6571347e-16
0.15,2.0581979e-16
0.155,2.1274347e-16
0.16,2.6203663e-16
0.165,2.9052432e-16
0.17,2.8508735e-16
0.175,3.4242579e-16
0.18,3.4388895e-16
0.185,4.1199417e-16
0.19,4.5238107e-16
0.195,4.6241664e-16
0.2,5.2304257e-16
0.205,6.0174554e-16
0.21,6.5069532e-16
0.215,6.9781721e-16
0.22,7.5029002e-16
0.225,9.1087974e-16
0.23,1.0016314e-15
0.235,1.0549086e-15
0.24,1.1731557e-15
0.245,1.3273276e-15
0.25,1.3833087e-15
0.255,1.6451682e-15
0.26,1.796957e-15
0.265,2.045857e-15
0.27,2.2087389e-15
0.275,2.4545019e-15
0.28,2.720467e-15
0.285,3.0242392e-15
0.29,3.3660844e-15
0.295,3.7131066e-15
0.3,4.1230474e-15
0.305,4.5519002e-15
0.31,5.1331318e-15
0.315,5.6674456e-15
0.32,6.3038378e-15
0.325,6.9837921e-15
0.33,7.7305197e-15
0.335,8.5697478e-15
0.34,9.5428626e-15
0.345,1.0622892e-14
0.35,1.1803587e-14
0.355,1.3196715e-14
0.36,1.4692859e-14
0.365,1.6331423e-14
0.37,1.8074385e-14
0.375,2.0122037e-14
0.38,2.240755e-14
0.385,2.4943847e-14
0.39,2.7759115e-14
0.395,3.0860949e-14
0.4,3.4386096e-14
0.405,3.8231824e-14
0.41,4.2657786e-14
0.415,4.7434934e-14
0.42,5.2811836e-14
0.425,5.8815805e-14
0.43,6.5458963e-14
0.435,7.2956649e-14
0.44,8.1303719e-14
0.445,9.0580476e-14
0.45,1.0094803e-13
0.455,1.1251825e-13
0.46,1.2529976e-13
0.465,1.3971119e-13
0.47,1.5564923e-13
0.475,1.7350232e-13
0.48,1.9348863e-13
0.485,2.1568549e-13
0.49,2.4049167e-13
0.495,2.6819577e-13
0.5,2.9900879e-13
0.505,3.3344507e-13
0.51,3.7193818e-13
0.515,4.1480618e-13
0.52,4.6267702e-13
0.525,5.1613066e-13
0.53,5.7571774e-13
0.535,6.4233974e-13
0.54,7.1659313e-13
0.545,7.9957743e-13
0.55,8.9210847e-13
0.555,9.9550555e-13
0.56,1.1108525e-12
0.565,1.2397391e-12
0.57,1.3835238e-12
0.575,1.5441192e-12
0.58,1.7233096e-12
0.585,1.923523e-12
0.59,2.1470069e-12
0.595,2.3964735e-12
0.6,2.6749703e-12
0.605,2.9860692e-12
0.61,3.333264e-12
0.615,3.7208612e-12
0.62,4.1537134e-12
0.625,4.6368811e-12
0.63,5.1763505e-12
0.635,5.7785263e-12
0.64,6.4507961e-12
0.645,7.2011811e-12
0.65,8.0388829e-12
0.655,8.9736567e-12
0.66,1.0017063e-11
0.665,1.1181413e-11
0.67,1.2480685e-11
0.675,1.3930381e-11
0.68,1.5547715e-11
0.685,1.7351898e-11
0.69,1.9364287e-11
0.695,2.1608716e-11
0.7,2.4111322e-11
0.705,2.6901684e-11
0.71,3.0012087e-11
0.715,3.3478806e-11
0.72,3.7341982e-11
0.725,4.1646024e-11
0.73,4.644023e-11
0.735,5.1779309e-11
0.74,5.7723728e-11
0.745,6.434043e-11
0.75,7.1703604e-11
0.755,7.9895196e-11
0.76,8.9005765e-11
0.765,9.9135335e-11
0.77,1.1039443e-10
0.775,1.229048e-10
0.78,1.3680083e-10
0.785,1.522305e-10
0.79,1.6935684e-10
0.795,1.8835916e-10
0.8,2.0943474e-10
0.805,2.328003e-10
0.81,2.586941e-10
0.815,2.8737744e-10
0.82,3.1913684e-10
0.825,3.5428669e-10
0.83,3.9317095e-10
0.835,4.3616664e-10
0.84,4.8368561e-10
0.845,5.3617863e-10
0.85,5.941379e-10
0.855,6.5810066e-10
0.86,7.2865312e-10
