drain TotalCurrent(IdVg_R1_n43_des) X,drain TotalCurrent(IdVg_R1_n43_des) Y
0,-1.1577408e-16
0.005,-1.6507137e-16
0.01,1.0799914e-16
0.015,2.1373831e-16
0.02,-2.7195272e-16
0.025,1.8281292e-16
0.03,1.1511351e-16
0.035,-1.9937138e-19
0.04,4.6554543e-17
0.045,2.6185576e-16
0.05,2.477449e-16
0.055,6.9089553e-17
0.06,3.4402343e-16
0.065,1.3684289e-16
0.07,5.1246324e-17
0.075,-6.5355701e-17
0.08,-2.8923746e-18
0.085,-1.5725401e-16
0.09,2.0363046e-18
0.095,-1.5533238e-17
0.1,2.4923709e-16
0.105,2.8129117e-16
0.11,1.4369476e-16
0.115,-1.7069987e-16
0.12,-4.2651417e-17
0.125,1.9014535e-16
0.13,9.5366285e-17
0.135,1.4321096e-16
0.14,-8.0180973e-18
0.145,2.73156e-16
0.15,9.6459042e-17
0.155,2.5198837e-16
0.16,6.3119023e-16
0.165,3.1643211e-16
0.17,5.2553076e-16
0.175,3.2500158e-16
0.18,2.435215e-16
0.185,4.7501435e-16
0.19,5.2723969e-16
0.195,6.0243699e-16
0.2,3.8342385e-16
0.205,3.1298428e-16
0.21,6.1125907e-16
0.215,5.8035224e-16
0.22,7.416371e-16
0.225,8.9639295e-16
0.23,8.1236906e-16
0.235,1.1697797e-15
0.24,9.9261112e-16
0.245,1.2169855e-15
0.25,1.1419499e-15
0.255,1.7106583e-15
0.26,2.0365595e-15
0.265,1.9672924e-15
0.27,2.0820549e-15
0.275,2.1933363e-15
0.28,2.7133111e-15
0.285,2.741406e-15
0.29,3.226637e-15
0.295,3.3319846e-15
0.3,3.6993829e-15
0.305,4.1626573e-15
0.31,4.9206385e-15
0.315,5.0330274e-15
0.32,5.9926043e-15
0.325,6.4129161e-15
0.33,7.1945217e-15
0.335,7.8988926e-15
0.34,9.0942875e-15
0.345,9.4599421e-15
0.35,1.0954341e-14
0.355,1.1988044e-14
0.36,1.3503642e-14
0.365,1.5021133e-14
0.37,1.6668634e-14
0.375,1.8331082e-14
0.38,2.0521241e-14
0.385,2.2908755e-14
0.39,2.5416951e-14
0.395,2.8141605e-14
0.4,3.1085185e-14
0.405,3.4663372e-14
0.41,3.8493036e-14
0.415,4.2986326e-14
0.42,4.7628469e-14
0.425,5.2882612e-14
0.43,5.9231717e-14
0.435,6.555351e-14
0.44,7.2658939e-14
0.445,8.0984915e-14
0.45,8.9798664e-14
0.455,1.0017429e-13
0.46,1.1152325e-13
0.465,1.2422667e-13
0.47,1.3822896e-13
0.475,1.537796e-13
0.48,1.7105174e-13
0.485,1.9037123e-13
0.49,2.118865e-13
0.495,2.3613996e-13
0.5,2.6302443e-13
0.505,2.9242177e-13
0.51,3.2612807e-13
0.515,3.6330105e-13
0.52,4.0428405e-13
0.525,4.5001927e-13
0.53,5.0149782e-13
0.535,5.5877554e-13
0.54,6.2251478e-13
0.545,6.9353033e-13
0.55,7.7239081e-13
0.555,8.603092e-13
0.56,9.5889799e-13
0.565,1.0687377e-12
0.57,1.190663e-12
0.575,1.3268405e-12
0.58,1.4786614e-12
0.585,1.6479232e-12
0.59,1.8365704e-12
0.595,2.0467889e-12
0.6,2.280872e-12
0.605,2.5423536e-12
0.61,2.8338069e-12
0.615,3.1581968e-12
0.62,3.5201117e-12
0.625,3.9242853e-12
0.63,4.3735052e-12
0.635,4.8749755e-12
0.64,5.4335951e-12
0.645,6.0565684e-12
0.65,6.7508172e-12
0.655,7.5244913e-12
0.66,8.386523e-12
0.665,9.347527e-12
0.67,1.0417423e-11
0.675,1.1610727e-11
0.68,1.2938634e-11
0.685,1.4418239e-11
0.69,1.6066279e-11
0.695,1.7901729e-11
0.7,1.9944207e-11
0.705,2.2219259e-11
0.71,2.4750923e-11
0.715,2.7568396e-11
0.72,3.0703757e-11
0.725,3.4191571e-11
