drain TotalCurrent(IdVg_R1_n35_des) X,drain TotalCurrent(IdVg_R1_n35_des) Y
0,1.626352e-16
0.005,-2.1833376e-17
0.01,1.5011563e-16
0.015,-1.2564253e-17
0.02,2.1246565e-16
0.025,-2.8575607e-16
0.03,-2.0362283e-16
0.035,1.4680794e-16
0.04,8.0835168e-17
0.045,3.8043866e-16
0.05,-1.8837109e-16
0.055,-1.0124239e-16
0.06,-1.1672471e-17
0.065,4.5531658e-17
0.07,-1.6391965e-17
0.075,2.6944208e-16
0.08,-7.1135305e-17
0.085,1.7958262e-17
0.09,3.3128025e-16
0.095,-8.5393272e-17
0.1,1.2787321e-16
0.105,2.8753217e-16
0.11,-5.5836424e-18
0.115,3.4560795e-16
0.12,9.8439951e-17
0.125,1.7703854e-16
0.13,8.0785428e-17
0.135,-1.3015585e-16
0.14,2.3250192e-16
0.145,2.3845915e-16
0.15,3.1883126e-16
0.155,2.594917e-16
0.16,2.5821704e-16
0.165,4.4568022e-17
0.17,6.2026243e-16
0.175,1.9148278e-16
0.18,5.4534562e-16
0.185,3.1622013e-16
0.19,5.2923352e-16
0.195,4.0273729e-16
0.2,5.6688655e-16
0.205,4.476864e-16
0.21,6.35511e-16
0.215,8.0876154e-16
0.22,1.0631538e-15
0.225,3.7667424e-16
0.23,1.0202819e-15
0.235,8.6005254e-16
0.24,1.2136393e-15
0.245,1.307377e-15
0.25,1.0776642e-15
0.255,1.5599516e-15
0.26,1.6399225e-15
0.265,1.750067e-15
0.27,2.0806327e-15
0.275,2.4206495e-15
0.28,2.5964e-15
0.285,2.7605861e-15
0.29,3.0148563e-15
0.295,3.0851323e-15
0.3,3.9633905e-15
0.305,4.3372952e-15
0.31,4.8523441e-15
0.315,5.1386754e-15
0.32,5.9372871e-15
0.325,6.7310955e-15
0.33,7.0161751e-15
0.335,8.0711212e-15
0.34,9.0852028e-15
0.345,9.9595273e-15
0.35,1.1127062e-14
0.355,1.2362411e-14
0.36,1.3458955e-14
0.365,1.5093078e-14
0.37,1.6471551e-14
0.375,1.834352e-14
0.38,2.0511586e-14
0.385,2.2469228e-14
0.39,2.536993e-14
0.395,2.7967882e-14
0.4,3.0946154e-14
0.405,3.4637258e-14
0.41,3.8590096e-14
0.415,4.2874822e-14
0.42,4.7842444e-14
0.425,5.3155299e-14
0.43,5.9278909e-14
0.435,6.5733128e-14
0.44,7.305858e-14
0.445,8.1387755e-14
0.45,9.0496487e-14
0.455,1.0047981e-13
0.46,1.118664e-13
