drain TotalCurrent(GIDL_OFF_R3_n49_des) X,drain TotalCurrent(GIDL_OFF_R3_n49_des) Y
0,9.863459e-17
-0.005,4.7413967e-16
-0.01,1.7775512e-16
-0.015,-2.5793552e-17
-0.02,1.3138733e-16
-0.025,-6.867587e-17
-0.03,2.224707e-16
-0.035,-7.7711277e-17
-0.04,-1.2306194e-16
-0.045,-1.0673846e-16
-0.05,-1.4069639e-16
-0.055,1.5416895e-16
-0.06,1.4317872e-16
-0.065,-1.2513205e-16
-0.07,1.4173138e-16
-0.075,1.4009342e-17
-0.08,4.0365085e-17
-0.085,-4.2441834e-17
-0.09,1.0356821e-16
-0.095,1.5597787e-16
-0.1,-7.6640149e-18
-0.105,-2.2893508e-16
-0.11,-1.0906959e-16
-0.115,-2.9695966e-16
-0.12,5.4249779e-18
-0.125,-1.8203892e-16
-0.13,-6.1859789e-18
-0.135,-1.0560865e-16
-0.14,7.4598712e-17
-0.145,3.0143871e-16
-0.15,6.242666e-17
-0.155,-8.8785487e-17
-0.16,2.0659783e-17
-0.165,7.3751362e-18
-0.17,2.9038497e-16
-0.175,-1.9568073e-16
-0.18,9.7955426e-17
-0.185,-9.6628491e-17
-0.19,-5.3432717e-17
-0.195,-1.1472123e-16
-0.2,3.3603744e-17
-0.205,-1.3431171e-16
-0.21,-4.7727611e-17
-0.215,4.1403519e-17
-0.22,-2.1772875e-16
-0.225,1.7038306e-17
-0.23,-8.6896795e-17
-0.235,5.2678626e-17
-0.24,-1.291431e-16
-0.245,-6.6944697e-17
-0.25,-6.7671345e-17
-0.255,-5.9072857e-17
-0.26,9.247284e-18
-0.265,9.1031062e-17
-0.27,-1.473904e-16
-0.275,-9.9483998e-17
-0.28,-3.4392524e-17
-0.285,3.6633107e-17
-0.29,7.2252579e-17
-0.295,2.7127307e-16
-0.3,4.1253771e-17
-0.305,-2.0620659e-16
-0.31,2.7906101e-16
-0.315,-1.9956804e-16
-0.32,6.9405669e-17
-0.325,6.570047e-18
-0.33,2.0272403e-16
-0.335,-1.5046424e-16
-0.34,3.602474e-17
-0.345,-2.2774937e-17
-0.35,-5.1246762e-17
-0.355,1.5723022e-16
-0.36,-8.968655e-17
-0.365,1.5800996e-16
-0.37,6.7745526e-17
-0.375,7.7624886e-17
-0.38,1.190973e-16
-0.385,9.8358756e-17
-0.39,-1.3796227e-16
-0.395,4.5557471e-17
-0.4,5.3164152e-17

