source TotalCurrent(GIDL_OFF_R3_n49_des) X,source TotalCurrent(GIDL_OFF_R3_n49_des) Y
0,1.4424764e-17
-0.005,-2.6233584e-17
-0.01,-1.0497096e-17
-0.015,-1.7131364e-17
-0.02,3.1613902e-17
-0.025,2.0285017e-17
-0.03,2.6210021e-17
-0.035,-1.0418265e-17
-0.04,2.4459659e-17
-0.045,1.499418e-17
-0.05,-1.3764323e-17
-0.055,7.4654958e-18
-0.06,3.4304713e-18
-0.065,-1.7408586e-17
-0.07,2.4023095e-17
-0.075,2.3091786e-18
-0.08,-3.618466e-17
-0.085,7.9944607e-18
-0.09,-3.3020902e-17
-0.095,7.9060979e-18
-0.1,4.0797002e-17
-0.105,-7.1824928e-18
-0.11,-1.3151148e-17
-0.115,1.7227578e-17
-0.12,3.5453982e-17
-0.125,5.0394336e-18
-0.13,-6.5928425e-18
-0.135,-5.5243238e-18
-0.14,1.684545e-17
-0.145,1.952445e-17
-0.15,4.3615979e-18
-0.155,-1.7383671e-17
-0.16,9.7554603e-18
-0.165,1.2625329e-17
-0.17,1.6904716e-17
-0.175,-5.8040149e-18
-0.18,-4.9301451e-18
-0.185,1.7937228e-18
-0.19,-4.4566437e-18
-0.195,-1.119389e-17
-0.2,-3.2432036e-18
-0.205,2.6292471e-17
-0.21,-2.3956359e-17
-0.215,-5.0510984e-18
-0.22,1.4510808e-17
-0.225,-3.741534e-17
-0.23,3.5767495e-18
-0.235,3.008565e-17
-0.24,8.2504355e-18
-0.245,-2.1634214e-18
-0.25,-8.1235478e-18
-0.255,-2.3921487e-17
-0.26,1.9167024e-17
-0.265,-1.5455558e-19
-0.27,2.1984193e-17
-0.275,-7.7592683e-18
-0.28,-4.7601695e-18
-0.285,-8.3180416e-18
-0.29,-3.1607289e-17
-0.295,-2.0191934e-18
-0.3,-1.7574404e-17
-0.305,4.009708e-18
-0.31,2.0557744e-17
-0.315,1.7303723e-17
-0.32,-1.2926521e-17
-0.325,7.963219e-18
-0.33,-8.0720735e-18
-0.335,8.0032566e-18
-0.34,-3.0104491e-17
-0.345,2.0623443e-17
-0.35,1.6628025e-17
-0.355,-1.5480659e-17
-0.36,2.1990967e-17
-0.365,1.9277863e-17
-0.37,-2.5684672e-18
-0.375,1.451383e-17
-0.38,-3.5862412e-17
-0.385,-8.0829181e-18
-0.39,-4.8727077e-18
-0.395,2.2012197e-17
-0.4,-1.6169355e-17

