substrate TotalCurrent(GIDL_OFF_R3_n49_des) X,substrate TotalCurrent(GIDL_OFF_R3_n49_des) Y
0,-1.1305935e-16
-0.005,-4.4790608e-16
-0.01,-1.6725803e-16
-0.015,4.2924916e-17
-0.02,-1.6300123e-16
-0.025,4.8390853e-17
-0.03,-2.4868072e-16
-0.035,8.8129542e-17
-0.04,9.860228e-17
-0.045,9.1744276e-17
-0.05,1.5446072e-16
-0.055,-1.6163445e-16
-0.06,-1.4660919e-16
-0.065,1.4254064e-16
-0.07,-1.6575447e-16
-0.075,-1.6318521e-17
-0.08,-4.1804247e-18
-0.085,3.4447374e-17
-0.09,-7.0547304e-17
-0.095,-1.6388396e-16
-0.1,-3.3132987e-17
-0.105,2.3611757e-16
-0.11,1.2222074e-16
-0.115,2.7973208e-16
-0.12,-4.087896e-17
-0.125,1.7699949e-16
-0.13,1.2778821e-17
-0.135,1.1113297e-16
-0.14,-9.1444162e-17
-0.145,-3.2096316e-16
-0.15,-6.6788258e-17
-0.155,1.0616916e-16
-0.16,-3.0415244e-17
-0.165,-2.0000466e-17
-0.17,-3.0728968e-16
-0.175,2.0148474e-16
-0.18,-9.3025281e-17
-0.185,9.4834768e-17
-0.19,5.7889361e-17
-0.195,1.2591512e-16
-0.2,-3.036054e-17
-0.205,1.0801924e-16
-0.21,7.1683969e-17
-0.215,-3.6352421e-17
-0.22,2.0321795e-16
-0.225,2.0377034e-17
-0.23,8.3320045e-17
-0.235,-8.2764276e-17
-0.24,1.2089266e-16
-0.245,6.9108118e-17
-0.25,7.5794892e-17
-0.255,8.2994345e-17
-0.26,-2.8414308e-17
-0.265,-9.0876506e-17
-0.27,1.2540621e-16
-0.275,1.0724327e-16
-0.28,3.9152694e-17
-0.285,-2.8315065e-17
-0.29,-4.064529e-17
-0.295,-2.6925387e-16
-0.3,-2.3679368e-17
-0.305,2.0219688e-16
-0.31,-2.9961875e-16
-0.315,1.8226431e-16
-0.32,-5.6479149e-17
-0.325,-1.4533266e-17
-0.33,-1.9465195e-16
-0.335,1.4246098e-16
-0.34,-5.9202486e-18
-0.345,2.1514941e-18
-0.35,3.4618737e-17
-0.355,-1.4174956e-16
-0.36,6.7695583e-17
-0.365,-1.7728782e-16
-0.37,-6.5177059e-17
-0.375,-9.2138716e-17
-0.38,-8.3234885e-17
-0.385,-9.0275838e-17
-0.39,1.4283498e-16
-0.395,-6.7569668e-17
-0.4,-3.6994797e-17

