drain TotalCurrent(GIDL_ON_R3_n46_des) X,drain TotalCurrent(GIDL_ON_R3_n46_des) Y
0,1.0013665e-16
-0.005,4.8417244e-16
-0.01,1.7476354e-16
-0.015,-2.87949e-17
-0.02,6.0802448e-17
-0.025,-6.2339704e-17
-0.03,2.2150069e-16
-0.035,-7.0298745e-17
-0.04,-1.0084574e-16
-0.045,-1.0501802e-16
-0.05,-1.4022858e-16
-0.055,1.5022779e-16
-0.06,1.5046553e-16
-0.065,-1.1968837e-16
-0.07,1.3543473e-16
-0.075,2.0708061e-17
-0.08,3.6893843e-17
-0.085,-3.8448757e-17
-0.09,1.0222067e-16
-0.095,1.4132245e-16
-0.1,-6.7531126e-18
-0.105,-2.3831209e-16
-0.11,-1.2334225e-16
-0.115,-3.0626255e-16
-0.12,4.5152452e-18
-0.125,-1.7860356e-16
-0.13,-1.1669277e-17
-0.135,-9.522319e-17
-0.14,8.175889e-17
-0.145,3.2460953e-16
-0.15,6.4413559e-17
-0.155,-9.2961218e-17
-0.16,2.5779202e-17
-0.165,6.2262599e-17
-0.17,3.1190143e-16
-0.175,-1.858709e-16
-0.18,2.6129879e-17
-0.185,-6.1425554e-17
-0.19,-5.6193712e-17
-0.195,-1.6433915e-16
-0.2,6.6152045e-17
-0.205,-8.2348416e-17
-0.21,-4.3147157e-17
-0.215,9.2436939e-17
-0.22,-1.5175811e-16
-0.225,-1.4296217e-16
-0.23,4.8964485e-17
-0.235,1.0964069e-16
-0.24,-1.8729992e-16
-0.245,1.6388959e-16
-0.25,-1.6924059e-17
-0.255,1.2358409e-16
-0.26,-1.3107947e-16
-0.265,-5.8246879e-18
-0.27,-1.1265604e-16
-0.275,6.5491448e-17
-0.28,-1.9717865e-16
-0.285,-1.4769082e-16
-0.29,1.8594832e-17
-0.295,-4.1233458e-17
-0.3,5.8366686e-17
-0.305,-1.4492933e-16
-0.31,1.6499959e-16
-0.315,-3.3965515e-17
-0.32,1.0705969e-16
-0.325,1.3872893e-17
-0.33,-3.9259313e-18
-0.335,1.219402e-16
-0.34,1.6537041e-16
-0.345,4.3794344e-17
-0.35,1.6492106e-16
-0.355,2.5877143e-17
-0.36,-2.2191767e-17
-0.365,8.8845234e-17
-0.37,-2.1400021e-16
-0.375,1.9428344e-16
-0.38,-1.2236739e-17
-0.385,-7.6237781e-17
-0.39,-1.0197668e-19
-0.395,2.0199504e-16
-0.4,7.2549704e-19

