source TotalCurrent(GIDL_ON_R3_n46_des) X,source TotalCurrent(GIDL_ON_R3_n46_des) Y
0,1.4528324e-17
-0.005,-2.7332803e-17
-0.01,-1.0477397e-17
-0.015,-1.7229649e-17
-0.02,3.2375181e-17
-0.025,2.1188248e-17
-0.03,2.599797e-17
-0.035,-1.0435087e-17
-0.04,2.395966e-17
-0.045,1.4127908e-17
-0.05,-1.3552288e-17
-0.055,7.4628944e-18
-0.06,3.5507279e-18
-0.065,-1.708118e-17
-0.07,1.9901432e-17
-0.075,1.8550671e-18
-0.08,-3.6109087e-17
-0.085,9.3706572e-18
-0.09,-3.2589567e-17
-0.095,8.0013477e-18
-0.1,4.1195183e-17
-0.105,-1.4851086e-18
-0.11,-1.6422186e-17
-0.115,1.7896425e-17
-0.12,3.598337e-17
-0.125,3.10306e-18
-0.13,-4.3934568e-18
-0.135,-1.7479549e-18
-0.14,7.9288701e-18
-0.145,5.5581935e-18
-0.15,7.9999895e-18
-0.155,-1.6538815e-17
-0.16,9.9446903e-18
-0.165,1.4007868e-17
-0.17,1.7150361e-17
-0.175,-2.5756565e-18
-0.18,7.5318507e-19
-0.185,5.4405421e-18
-0.19,-1.1439567e-17
-0.195,-7.4395402e-18
-0.2,-4.2834462e-18
-0.205,2.9296879e-17
-0.21,-1.6154443e-17
-0.215,2.5154859e-18
-0.22,1.5258704e-18
-0.225,4.4834363e-18
-0.23,1.2985402e-17
-0.235,-7.1044559e-18
-0.24,1.8635332e-17
-0.245,-3.4874674e-17
-0.25,3.91188e-18
-0.255,-8.0970086e-18
-0.26,2.4717839e-17
-0.265,1.2017432e-17
-0.27,2.0856152e-17
-0.275,7.0727643e-18
-0.28,-6.2458972e-18
-0.285,2.0913698e-17
-0.29,-1.2088159e-17
-0.295,2.1215127e-17
-0.3,-1.2728805e-17
-0.305,-2.0908076e-17
-0.31,-2.1369378e-17
-0.315,7.0695378e-18
-0.32,-1.3479634e-17
-0.325,-7.9197631e-18
-0.33,1.4973583e-17
-0.335,2.7149169e-18
-0.34,-2.1637853e-17
-0.345,1.664511e-17
-0.35,-2.7156544e-17
-0.355,1.1430212e-17
-0.36,1.1464655e-17
-0.365,-5.4805663e-18
-0.37,6.8868206e-18
-0.375,1.1064968e-17
-0.38,7.0170471e-18
-0.385,9.7251741e-18
-0.39,4.1181916e-17
-0.395,-2.1797758e-18
-0.4,2.5293654e-17

