substrate TotalCurrent(GIDL_ON_R3_n46_des) X,substrate TotalCurrent(GIDL_ON_R3_n46_des) Y
0,-1.1466498e-16
-0.005,-4.5683964e-16
-0.01,-1.6428614e-16
-0.015,4.6024549e-17
-0.02,-9.3177629e-17
-0.025,4.1151456e-17
-0.03,-2.4749866e-16
-0.035,8.0733833e-17
-0.04,7.6886076e-17
-0.045,9.089011e-17
-0.05,1.5378087e-16
-0.055,-1.5769068e-16
-0.06,-1.5401625e-16
-0.065,1.3676955e-16
-0.07,-1.5533617e-16
-0.075,-2.2563129e-17
-0.08,-7.847561e-19
-0.085,2.90781e-17
-0.09,-6.9631099e-17
-0.095,-1.493238e-16
-0.1,-3.4442071e-17
-0.105,2.397972e-16
-0.11,1.3976444e-16
-0.115,2.8836612e-16
-0.12,-4.0498615e-17
-0.125,1.755005e-16
-0.13,1.6062734e-17
-0.135,9.6971145e-17
-0.14,-8.968776e-17
-0.145,-3.3016772e-16
-0.15,-7.2413548e-17
-0.155,1.0950003e-16
-0.16,-3.5723892e-17
-0.165,-7.6270467e-17
-0.17,-3.2905179e-16
-0.175,1.8844655e-16
-0.18,-2.6883064e-17
-0.185,5.5985012e-17
-0.19,6.7633279e-17
-0.195,1.7177869e-16
-0.2,-6.1868598e-17
-0.205,5.3051537e-17
-0.21,5.93016e-17
-0.215,-9.4952424e-17
-0.22,1.5023224e-16
-0.225,1.3847874e-16
-0.23,-6.1949887e-17
-0.235,-1.0253623e-16
-0.24,1.6866459e-16
-0.245,-1.2901491e-16
-0.25,1.3012179e-17
-0.255,-1.1548708e-16
-0.26,1.0636163e-16
-0.265,-6.1927446e-18
-0.27,9.1799891e-17
-0.275,-7.2564212e-17
-0.28,2.0342455e-16
-0.285,1.2677712e-16
-0.29,-6.5066728e-18
-0.295,2.0018331e-17
-0.3,-4.563788e-17
-0.305,1.6583741e-16
-0.31,-1.4363021e-16
-0.315,2.6895977e-17
-0.32,-9.3580052e-17
-0.325,-5.9531299e-18
-0.33,-1.1047652e-17
-0.335,-1.2465512e-16
-0.34,-1.4373256e-16
-0.345,-6.0439454e-17
-0.35,-1.3776451e-16
-0.355,-3.7307355e-17
-0.36,1.0727112e-17
-0.365,-8.3364668e-17
-0.37,2.0711339e-16
-0.375,-2.0534841e-16
-0.38,5.2196916e-18
-0.385,6.6512607e-17
-0.39,-4.1079939e-17
-0.395,-1.9981526e-16
-0.4,-2.6019151e-17

