drain TotalCurrent(GIDL_ON_R3_n46_des) X,drain TotalCurrent(GIDL_ON_R3_n46_des) Y
0,5.6369707e-17
-0.005,2.5058746e-16
-0.01,-3.4716143e-16
-0.015,3.2056549e-16
-0.02,-1.8755272e-16
-0.025,-7.8642202e-17
-0.03,-7.0489879e-17
-0.035,-2.8152798e-17
-0.04,1.9997195e-16
-0.045,-2.1578948e-16
-0.05,-2.6800129e-17
-0.055,2.6363178e-18
-0.06,-7.4304436e-17
-0.065,-5.5434207e-17
-0.07,6.9712542e-17
-0.075,-6.6335257e-17
-0.08,-1.3668188e-16
-0.085,-1.1581422e-16
-0.09,-1.6798307e-17
-0.095,1.9116352e-16
-0.1,1.0832368e-16
-0.105,2.2726177e-16
-0.11,-1.0375969e-16
-0.115,1.1153967e-17
-0.12,3.3862971e-17
-0.125,-2.5904173e-16
-0.13,-2.7043197e-17
-0.135,1.4743741e-16
-0.14,1.2813882e-16
-0.145,-5.2061287e-17
-0.15,1.1565432e-16
-0.155,2.4632844e-17
-0.16,1.5238664e-16
-0.165,2.9348466e-17
-0.17,-1.2380338e-16
-0.175,1.1449284e-16
-0.18,3.1862209e-16
-0.185,-2.0271968e-18
-0.19,-2.0336263e-16
-0.195,1.3446213e-16
-0.2,-1.4156412e-16
-0.205,4.3563633e-17
-0.21,7.9712386e-17
-0.215,-1.0665239e-16
-0.22,-5.3895144e-17
-0.225,-1.1591607e-16
-0.23,1.0719215e-16
-0.235,-4.1901074e-19
-0.24,2.1260008e-16
-0.245,4.6891395e-17
-0.25,2.5033777e-17
-0.255,-8.9284807e-17
-0.26,-8.455588e-17
-0.265,-6.7757529e-17
-0.27,-9.7537604e-17
-0.275,-2.5559139e-18
-0.28,-2.3028282e-16
-0.285,4.6530894e-17
-0.29,-3.0700089e-17
-0.295,-2.0509433e-16
-0.3,-9.4264431e-17
-0.305,-2.0737397e-17
-0.31,9.5340327e-17
-0.315,8.4692742e-17
-0.32,4.3534318e-17
-0.325,-1.7495241e-17
-0.33,8.1320585e-17
-0.335,1.6499258e-16
-0.34,-9.0709218e-17
-0.345,-7.653743e-17
-0.35,-9.3163792e-17
-0.355,1.3918694e-16
-0.36,6.3407382e-18
-0.365,2.0746763e-17
-0.37,-8.3495493e-17
-0.375,6.8763361e-17
-0.38,1.1301879e-16
-0.385,-1.0917604e-16
-0.39,1.8941027e-16
-0.395,2.0276532e-16
-0.4,-8.2955354e-17

