source TotalCurrent(GIDL_ON_R3_n46_des) X,source TotalCurrent(GIDL_ON_R3_n46_des) Y
0,-2.6337897e-17
-0.005,-3.0983512e-17
-0.01,-4.8422718e-17
-0.015,8.4913376e-18
-0.02,1.276066e-17
-0.025,9.620967e-18
-0.03,3.4759648e-18
-0.035,1.098966e-17
-0.04,-5.4998733e-18
-0.045,4.0724574e-17
-0.05,3.2283489e-17
-0.055,1.1013234e-17
-0.06,-7.6786785e-18
-0.065,4.6143475e-18
-0.07,-6.4931967e-18
-0.075,8.9340104e-19
-0.08,-3.013423e-17
-0.085,-2.2292383e-17
-0.09,8.1798634e-18
-0.095,-2.1885292e-17
-0.1,-1.1702249e-17
-0.105,-1.967799e-17
-0.11,8.5642605e-18
-0.115,-2.871985e-17
-0.12,-1.609386e-17
-0.125,-4.219387e-18
-0.13,-7.5913987e-19
-0.135,-2.1848451e-17
-0.14,-6.9630634e-18
-0.145,-1.7670481e-17
-0.15,-5.2567876e-18
-0.155,1.833519e-17
-0.16,2.1213666e-17
-0.165,1.2883564e-17
-0.17,-1.9257601e-17
-0.175,1.3241081e-17
-0.18,8.2526387e-18
-0.185,-2.7415306e-17
-0.19,3.6255061e-18
-0.195,5.6293517e-18
-0.2,2.1025117e-17
-0.205,-1.1836914e-17
-0.21,1.1094309e-17
-0.215,-2.7663022e-17
-0.22,1.3973693e-17
-0.225,1.0018545e-17
-0.23,-2.976598e-18
-0.235,-9.8808789e-18
-0.24,2.3322529e-17
-0.245,1.8348655e-17
-0.25,-6.4594028e-18
-0.255,-1.6434339e-17
-0.26,3.0133535e-18
-0.265,-2.2346409e-18
-0.27,2.5878796e-17
-0.275,2.8330714e-17
-0.28,2.1068378e-17
-0.285,-1.1018672e-18
-0.29,2.3949181e-17
-0.295,9.1854892e-18
-0.3,6.8623265e-18
-0.305,9.6633027e-18
-0.31,9.108981e-18
-0.315,1.5644765e-17
-0.32,8.4581102e-18
-0.325,2.816702e-17
-0.33,3.4796547e-17
-0.335,-3.9533736e-18
-0.34,2.0559589e-17
-0.345,-1.1474305e-17
-0.35,-4.6485377e-18
-0.355,2.8662033e-17
-0.36,1.116945e-17
-0.365,1.4998686e-17
-0.37,1.6216655e-17
-0.375,-2.7111935e-18
-0.38,1.0451963e-17
-0.385,1.4333595e-17
-0.39,2.6246167e-17
-0.395,3.5066882e-17
-0.4,-3.1906329e-17

