substrate TotalCurrent(GIDL_ON_R3_n46_des) X,substrate TotalCurrent(GIDL_ON_R3_n46_des) Y
0,-3.003181e-17
-0.005,-2.1960395e-16
-0.01,3.9558414e-16
-0.015,-3.2905683e-16
-0.02,1.7479206e-16
-0.025,6.9021235e-17
-0.03,6.7013914e-17
-0.035,1.7163138e-17
-0.04,-1.9447208e-16
-0.045,1.750649e-16
-0.05,-5.4833602e-18
-0.055,-1.3649552e-17
-0.06,8.1983114e-17
-0.065,5.0819859e-17
-0.07,-6.3219345e-17
-0.075,6.5441856e-17
-0.08,1.6681611e-16
-0.085,1.381066e-16
-0.09,8.6184441e-18
-0.095,-1.6927823e-16
-0.1,-9.6621431e-17
-0.105,-2.0758378e-16
-0.11,9.519543e-17
-0.115,1.7565883e-17
-0.12,-1.7769111e-17
-0.125,2.6326111e-16
-0.13,2.7802337e-17
-0.135,-1.2558896e-16
-0.14,-1.2117576e-16
-0.145,6.9731768e-17
-0.15,-1.1039753e-16
-0.155,-4.2968034e-17
-0.16,-1.736003e-16
-0.165,-4.223203e-17
-0.17,1.4306098e-16
-0.175,-1.2773392e-16
-0.18,-3.2687472e-16
-0.185,2.9442503e-17
-0.19,1.9973712e-16
-0.195,-1.4009148e-16
-0.2,1.20539e-16
-0.205,-3.1726719e-17
-0.21,-9.0806695e-17
-0.215,1.3431541e-16
-0.22,3.9921452e-17
-0.225,1.0589753e-16
-0.23,-1.0421555e-16
-0.235,1.029989e-17
-0.24,-2.3592261e-16
-0.245,-6.524005e-17
-0.25,-1.8574374e-17
-0.255,1.0571915e-16
-0.26,8.1542526e-17
-0.265,6.999217e-17
-0.27,7.1658807e-17
-0.275,-2.57748e-17
-0.28,2.0921444e-16
-0.285,-4.5429027e-17
-0.29,6.7509075e-18
-0.295,1.9590884e-16
-0.3,8.7402105e-17
-0.305,1.1074095e-17
-0.31,-1.0444931e-16
-0.315,-1.0033751e-16
-0.32,-5.1992428e-17
-0.325,-1.0671779e-17
-0.33,-1.1611713e-16
-0.335,-1.6103921e-16
-0.34,7.0149629e-17
-0.345,8.8011735e-17
-0.35,9.781233e-17
-0.355,-1.6784898e-16
-0.36,-1.7510189e-17
-0.365,-3.5745449e-17
-0.37,6.7278838e-17
-0.375,-6.6052167e-17
-0.38,-1.2347075e-16
-0.385,9.4842441e-17
-0.39,-2.1565644e-16
-0.395,-2.378322e-16
-0.4,1.1486168e-16

