drain TotalCurrent(GIDL_ON_R3_n46_des) X,drain TotalCurrent(GIDL_ON_R3_n46_des) Y
0,-2.0635316e-16
-0.005,1.4773446e-16
-0.01,1.2061288e-16
-0.015,-5.1480316e-17
-0.02,1.9433871e-16
-0.025,6.184564e-17
-0.03,-6.6757044e-17
-0.035,3.3930371e-16
-0.04,4.2300485e-16
-0.045,-3.8089758e-16
-0.05,2.5603599e-16
-0.055,-4.0599555e-18
-0.06,6.7907823e-17
-0.065,1.6361862e-16
-0.07,2.4770257e-16
-0.075,-7.1823502e-17
-0.08,1.3438745e-16
-0.085,-8.9462236e-17
-0.09,2.5041345e-17
-0.095,3.5549884e-17
-0.1,3.7931557e-17
-0.105,-3.3340481e-16
-0.11,3.4002583e-16
-0.115,4.8757473e-16
-0.12,-2.4172613e-16
-0.125,2.5818155e-16
-0.13,5.3946972e-16
-0.135,-3.9979975e-16
-0.14,-1.9936049e-16
-0.145,1.208108e-16
-0.15,-8.337852e-17
-0.155,3.7656999e-16
-0.16,1.3431959e-16
-0.165,-3.1255018e-17
-0.17,-1.5845783e-16
-0.175,2.9625676e-17
-0.18,-7.6098315e-18
-0.185,8.2042264e-17
-0.19,7.9162612e-17
-0.195,3.3257019e-16
-0.2,2.2949635e-16
-0.205,8.393773e-18
-0.21,-2.091625e-16
-0.215,1.1378791e-16
-0.22,3.6848236e-16
-0.225,3.6860315e-17
-0.23,-9.0191847e-17
-0.235,1.1121649e-17
-0.24,-2.3512718e-16
-0.245,-9.9226188e-17
-0.25,1.5085472e-16
-0.255,5.8264898e-16
-0.26,-2.5990743e-16
-0.265,5.5449203e-17
-0.27,1.935475e-16
-0.275,-5.9278851e-17
-0.28,2.9366851e-16
-0.285,-1.4686739e-16
-0.29,1.2320601e-16
-0.295,-6.4103578e-17
-0.3,-3.7111933e-16
-0.305,-9.0685348e-17
-0.31,2.1924479e-16
-0.315,-7.2087229e-17
-0.32,-3.8344087e-16
-0.325,4.0883108e-16
-0.33,-4.8819236e-16
-0.335,-1.8612624e-17
-0.34,1.0577444e-16
-0.345,1.0458467e-16
-0.35,-8.0657273e-17
-0.355,-2.735236e-16
-0.36,1.7448073e-16
-0.365,8.8773201e-17
-0.37,-4.2189031e-16
-0.375,3.4054368e-16
-0.38,-2.5977417e-16
-0.385,2.0098074e-17
-0.39,2.723735e-16
-0.395,-2.0152897e-17
-0.4,-1.0132248e-16
-0.405,-3.1948315e-17
-0.41,3.9600862e-17
-0.415,2.7510289e-16
-0.42,3.0715618e-16
-0.425,4.3534304e-16
-0.43,-8.9771532e-17
-0.435,-4.991081e-16
-0.44,-2.7073848e-17
-0.445,-2.1360847e-16
-0.45,-3.4813655e-17
-0.455,-3.286324e-16
-0.46,9.7743275e-17
-0.465,3.9151055e-16
-0.47,1.7228986e-17
-0.475,1.9344377e-17
-0.48,-2.7005103e-16
-0.485,-1.1222178e-16
-0.49,-1.2342024e-16
-0.495,-2.2237918e-16
-0.5,-3.1345613e-16
-0.505,2.0977348e-16
-0.51,-3.3494449e-16
-0.515,-1.5972137e-16
-0.52,2.3691068e-16
-0.525,-1.2311371e-17
-0.53,-8.6974651e-17
-0.535,7.2212314e-19
-0.54,-4.0885932e-18
-0.545,-1.4344729e-16
-0.55,3.3926525e-16
-0.555,-5.3548215e-16
-0.56,6.714827e-18
-0.565,-1.1987078e-16
-0.57,-2.1558288e-16
-0.575,-6.9364984e-17
-0.58,4.0350418e-16
-0.585,3.8729373e-16
-0.59,-5.8525525e-18
-0.595,-2.4086236e-16
-0.6,-4.0770514e-17
-0.605,4.0484004e-16
-0.61,-2.1650728e-17
-0.615,-1.2518003e-16
-0.62,2.2448102e-16
-0.625,3.603314e-16
-0.63,-2.2151564e-16
-0.635,-1.4885196e-16
-0.64,6.0872451e-16
-0.645,-1.1061706e-16
-0.65,1.788421e-17
-0.655,9.1213075e-18
-0.66,4.0529207e-16
-0.665,8.619119e-17
-0.67,2.4621464e-16
-0.675,1.6193855e-16
-0.68,1.9383587e-16
-0.685,1.5198035e-16
-0.69,-8.5321219e-17
-0.695,-1.6137151e-16
-0.7,-4.2880983e-16

