drain TotalCurrent(GIDL_ON_R3_n46_des) X,drain TotalCurrent(GIDL_ON_R3_n46_des) Y
0,-1.9686518e-16
-0.005,3.4834832e-16
-0.01,-2.0828351e-16
-0.015,-1.9784696e-17
-0.02,1.4484909e-16
-0.025,5.5346153e-17
-0.03,-3.5978879e-16
-0.035,3.9130294e-16
-0.04,5.2563493e-16
-0.045,-1.602078e-16
-0.05,-1.3578155e-17
-0.055,1.2184288e-17
-0.06,1.0746321e-16
-0.065,9.9815821e-18
-0.07,5.9688122e-16
-0.075,-2.0513508e-17
-0.08,1.2431876e-16
-0.085,-1.1932327e-16
-0.09,-3.6036086e-16
-0.095,2.6220892e-16
-0.1,-1.662538e-16
-0.105,-3.0237668e-16
-0.11,4.8245192e-16
-0.115,4.5769503e-16
-0.12,-2.3452725e-16
-0.125,3.3136754e-17
-0.13,5.4543829e-16
-0.135,-4.8956874e-16
-0.14,3.2005814e-16
-0.145,-5.5872194e-17
-0.15,3.3403377e-16
-0.155,4.4055396e-16
-0.16,5.1113511e-17
-0.165,7.016913e-17
-0.17,9.6813302e-17
-0.175,-3.0172293e-16
-0.18,-3.5748362e-16
-0.185,1.7850425e-16
-0.19,1.9976612e-16
-0.195,6.364777e-16
-0.2,2.2564966e-16
-0.205,-3.7552259e-16
-0.21,3.3299635e-16
-0.215,-3.0956515e-16
-0.22,1.9446926e-16
-0.225,1.9708667e-16
-0.23,3.6626395e-16
-0.235,4.2418749e-16
-0.24,2.4002259e-16
-0.245,-2.1490273e-16
-0.25,1.3022267e-16
-0.255,9.3168995e-17
-0.26,-3.7592502e-16
-0.265,2.1982394e-16
-0.27,4.9970737e-17
-0.275,-1.6429865e-16
-0.28,2.56407e-16
-0.285,-7.1971071e-17
-0.29,5.048769e-17
-0.295,2.4568422e-16
-0.3,1.2103951e-16
-0.305,2.9764904e-16
-0.31,-7.9647867e-17
-0.315,-1.0190336e-16
-0.32,2.4971937e-16
-0.325,2.1354329e-16
-0.33,5.4005005e-16
-0.335,3.9338915e-17
-0.34,6.4981902e-16
-0.345,8.4386358e-16
-0.35,1.6813391e-16
-0.355,3.3733436e-16
-0.36,3.8349527e-16
-0.365,7.7576517e-16
-0.37,3.5423827e-16
-0.375,2.1196782e-16
-0.38,3.843164e-16
-0.385,6.225382e-16
-0.39,-1.3526798e-17
-0.395,3.3927978e-16
-0.4,5.4246867e-16
-0.405,6.4600854e-16
-0.41,7.4480419e-16
-0.415,9.6843749e-16
-0.42,6.7945326e-16
-0.425,8.9823418e-16
-0.43,2.9029546e-16
-0.435,7.681548e-16
-0.44,1.1274912e-15
-0.445,1.4001348e-15
-0.45,1.2151139e-15
-0.455,1.1658672e-15
-0.46,1.6013396e-15
-0.465,1.2932344e-15
-0.47,1.5645491e-15
-0.475,1.2310671e-15
-0.48,1.7893169e-15
-0.485,2.0236071e-15
-0.49,1.7884437e-15
-0.495,1.7337719e-15
-0.5,1.9402832e-15
-0.505,1.8878662e-15
-0.51,2.163791e-15
-0.515,2.1969268e-15
-0.52,2.4162693e-15
-0.525,2.5201305e-15
-0.53,2.734191e-15
-0.535,3.1891546e-15
-0.54,2.9683089e-15
-0.545,2.4004202e-15
-0.55,2.9794535e-15
-0.555,3.6080317e-15
-0.56,3.6787071e-15
-0.565,3.6635786e-15
-0.57,4.0133028e-15
-0.575,4.2464887e-15
-0.58,4.2771885e-15
-0.585,4.5090559e-15
-0.59,4.3751639e-15
-0.595,5.3156719e-15
-0.6,5.1272598e-15

