drain TotalCurrent(IdVg_R1_n24_des) X,drain TotalCurrent(IdVg_R1_n24_des) Y
0,1.188954e-16
0.005,-1.1303787e-16
0.01,-1.4124909e-16
0.015,-7.4615375e-17
0.02,-6.3399121e-18
0.025,-1.9715487e-17
0.03,-1.86948e-16
0.035,-1.6718731e-16
0.04,2.0249045e-16
0.045,-2.8350873e-16
0.05,3.8000391e-16
0.055,1.7487972e-16
0.06,-8.5779366e-17
0.065,1.3498514e-16
0.07,-3.9166036e-17
0.075,1.137001e-16
0.08,1.9736071e-16
0.085,6.9932747e-17
0.09,2.7783049e-16
0.095,4.667015e-17
0.1,1.7916227e-17
0.105,3.0498252e-17
0.11,1.0171799e-17
0.115,2.8344235e-16
0.12,1.7146568e-16
0.125,8.9317633e-17
0.13,3.3521301e-17
0.135,1.3115829e-16
0.14,3.9448957e-16
0.145,1.2109047e-16
0.15,2.7703816e-16
0.155,1.6320043e-16
0.16,2.8384787e-16
0.165,2.997372e-16
0.17,3.207722e-16
0.175,-4.3613065e-17
0.18,1.8594662e-16
0.185,5.441888e-16
0.19,5.1444535e-16
0.195,2.599653e-16
0.2,1.6907512e-16
0.205,5.6185573e-16
0.21,6.7573975e-16
0.215,4.8356185e-16
0.22,7.5713095e-16
0.225,6.7492147e-16
0.23,8.822848e-16
0.235,1.1468615e-15
0.24,9.1157269e-16
0.245,1.1719886e-15
0.25,1.6653426e-15
0.255,1.4646907e-15
0.26,1.7182176e-15
0.265,1.9204067e-15
0.27,1.9454474e-15
0.275,2.4835066e-15
0.28,2.5821951e-15
0.285,2.8338885e-15
0.29,2.9074731e-15
0.295,3.3489417e-15
0.3,3.8414973e-15
0.305,3.9013318e-15
0.31,4.7461188e-15
0.315,5.3583445e-15
0.32,5.8503632e-15
0.325,6.8155458e-15
0.33,7.2066758e-15
0.335,7.6726568e-15
0.34,8.9252646e-15
0.345,9.7930409e-15
0.35,1.092664e-14
0.355,1.2032755e-14
0.36,1.3747911e-14
0.365,1.4527186e-14
0.37,1.6585217e-14
0.375,1.866379e-14
0.38,2.035793e-14
0.385,2.2478178e-14
0.39,2.5371084e-14
0.395,2.8176667e-14
0.4,3.1075685e-14
0.405,3.4865371e-14
0.41,3.8595808e-14
0.415,4.274399e-14
0.42,4.7516058e-14
0.425,5.2749513e-14
0.43,5.8987561e-14
0.435,6.5609119e-14
0.44,7.2972918e-14
0.445,8.0796184e-14
0.45,9.0272726e-14
0.455,1.0064499e-13
0.46,1.11873e-13
0.465,1.2424929e-13
0.47,1.3837546e-13
0.475,1.539873e-13
0.48,1.7142144e-13
0.485,1.9069089e-13
0.49,2.1226744e-13
0.495,2.3629224e-13
0.5,2.6329786e-13
0.505,2.9319636e-13
0.51,3.2640854e-13
0.515,3.6320583e-13
0.52,4.0464217e-13
0.525,4.5086606e-13
0.53,5.0223448e-13
0.535,5.5927137e-13
0.54,6.2299344e-13
0.545,6.9402994e-13
0.55,7.7309218e-13
0.555,8.6149892e-13
0.56,9.6012543e-13
0.565,1.0693863e-12
0.57,1.191803e-12
0.575,1.3279805e-12
0.58,1.4800503e-12
0.585,1.6492142e-12
0.59,1.8382612e-12
0.595,2.0486285e-12
0.6,2.2831562e-12
0.605,2.5449857e-12
0.61,2.8361244e-12
0.615,3.1612262e-12
0.62,3.5239531e-12
0.625,3.9278198e-12
0.63,4.377854e-12
0.635,4.8796961e-12
0.64,5.4389382e-12
0.645,6.0627371e-12
0.65,6.75758e-12
0.655,7.5316236e-12
0.66,8.3946219e-12
0.665,9.3564764e-12
0.67,1.0428127e-11
0.675,1.1621933e-11
0.68,1.2951183e-11
0.685,1.4432401e-11
0.69,1.608173e-11
0.695,1.7918738e-11
0.7,1.9963638e-11
0.705,2.2240826e-11
0.71,2.4774927e-11
0.715,2.7595307e-11
0.72,3.0733657e-11
0.725,3.4224796e-11
0.73,3.8107411e-11
0.735,4.2425238e-11
0.74,4.7225313e-11
0.745,5.2560277e-11
0.75,5.8488461e-11
0.755,6.5074076e-11
0.76,7.2387251e-11
0.765,8.05065e-11
0.77,8.9517994e-11
0.775,9.951647e-11
0.78,1.1060594e-10
0.785,1.229016e-10
0.79,1.3652888e-10
0.795,1.5162748e-10
0.8,1.6834963e-10
0.805,1.8686109e-10
0.81,2.0734684e-10
0.815,2.3000683e-10
0.82,2.550609e-10
0.825,2.8275028e-10
0.83,3.1333831e-10
0.835,3.4711274e-10
0.84,3.843881e-10
0.845,4.2550798e-10
0.85,4.7084607e-10
0.855,5.2081113e-10
0.86,5.7584732e-10
