gate_V,drain_TotalCurrent_A
0.0,-4.4335547e-17
0.005,9.3732207e-17
0.01,5.784387600000001e-17
0.015,-6.9255539e-17
0.02,3.4898123e-17
0.025,-2.0754307e-16
0.03,3.1673128e-17
0.035,-2.7607234000000004e-16
0.04,1.6736322e-16
0.045,-2.8479208e-16
0.05,-3.9556128e-17
0.055,-5.069501e-17
0.06,1.2137113e-17
0.065,-3.2048178000000003e-17
0.07,1.8272095e-17
0.075,-1.2712149e-16
0.08,1.0433138000000001e-16
0.085,-4.0110405e-16
0.09,3.1550358000000003e-17
0.095,1.8683127000000001e-16
0.1,1.0419485000000001e-16
0.105,3.5997784000000003e-16
0.11,2.6618812000000004e-16
0.115,1.6752172000000002e-16
0.12,3.9506184e-17
0.125,-4.8072563e-17
0.13,2.8482293000000003e-16
0.135,3.8454775e-16
0.14,6.2286457e-17
0.145,2.7052018e-16
0.15,1.0750408000000001e-16
0.155,2.7670575000000004e-16
0.16,3.5153941e-17
0.165,3.7642453000000003e-16
0.17,1.317095e-16
0.175,3.0398383e-16
0.18,9.1463683e-17
0.185,1.7309396000000002e-16
0.19,3.9188457000000003e-16
0.195,7.8363959e-16
0.2,3.1901588e-16
0.205,5.4930411e-16
0.21,7.9959059e-16
0.215,3.7568006e-16
0.22,8.037483900000001e-16
0.225,8.305348900000001e-16
0.23,1.0409467e-15
0.235,1.0345385e-15
0.24,1.2446882e-15
0.245,1.4894259e-15
0.25,1.2946377e-15
0.255,1.8216672e-15
0.26,2.0015912e-15
0.265,1.806536e-15
0.27,2.0454337e-15
0.275,2.1419695e-15
0.28,2.6033323e-15
0.285,2.586241e-15
0.29,3.4410565e-15
0.295,3.4991599e-15
0.3,3.994412e-15
0.305,4.2734835e-15
0.31,4.4890713e-15
0.315,5.3797639e-15
0.32,6.0562181e-15
0.325,6.5266786e-15
0.33,6.8919039e-15
0.335,8.1932537e-15
0.34,8.9924668e-15
0.345,9.4517193e-15
0.35,1.0912704e-14
0.355,1.2148778e-14
0.36,1.3612247e-14
0.365,1.4991427e-14
0.37,1.646603e-14
0.375,1.8414018e-14
0.38,2.0584935e-14
0.385,2.2701314e-14
0.39,2.5202885e-14
0.395,2.8418129e-14
0.4,3.1257722e-14
0.405,3.4846329e-14
0.41,3.8961618e-14
0.415,4.2778766e-14
0.42,4.7596679e-14
0.425,5.305925e-14
0.43,5.8691317e-14
0.435,6.5219986e-14
0.44,7.308565e-14
0.445,8.0947585e-14
0.45,9.0427489e-14
0.455,1.0050256e-13
0.46,1.1199019e-13
0.465,1.2441953e-13
0.47,1.3884025e-13
0.475,1.5432409e-13
0.48,1.7157224e-13
0.485,1.9128884e-13
0.49,2.1277364e-13
0.495,2.3675359e-13
0.5,2.633033e-13
0.505,2.9333569e-13
0.51,3.2651723e-13
0.515,3.6403962e-13
0.52,4.0545631e-13
0.525,4.5167891e-13
0.53,5.0291204e-13
0.535,5.6010805e-13
0.54,6.2421238e-13
0.545,6.9503418e-13
0.55,7.7412129e-13
0.555,8.6258708e-13
0.56,9.6067921e-13
0.565,1.0709208e-12
0.57,1.19337e-12
0.575,1.3297333e-12
0.58,1.4813053e-12
0.585,1.6508498e-12
0.59,1.8400967e-12
0.595,2.0508493e-12
0.6,2.2852881e-12
0.605,2.5475468e-12
0.61,2.8388229e-12
0.615,3.1642612e-12
0.62,3.5270048e-12
0.625,3.9310917e-12
0.63,4.3817413e-12
0.635,4.8841475e-12
0.64,5.4438335e-12
0.645,6.067649e-12
0.65,6.7630072e-12
0.655,7.5380011e-12
0.66,8.4019105e-12
0.665,9.3638525e-12
0.67,1.0435991e-11
0.675,1.163002e-11
0.68,1.2960762e-11
0.685,1.4442724e-11
0.69,1.6093659e-11
0.695,1.7931259e-11
0.7,1.9977855e-11
0.705,2.2256072e-11
0.71,2.4791885e-11
0.715,2.7613536e-11
0.72,3.0753502e-11
0.725,3.4246587e-11
0.73,3.8131629e-11
0.735,4.2451831e-11
0.74,4.7254591e-11
0.745,5.2592792e-11
0.75,5.8524162e-11
0.755,6.5112998e-11
0.76,7.2430281e-11
0.765,8.0554009e-11
0.77,8.9570381e-11
0.775,9.9573626e-11
0.78,1.1066883e-10
0.785,1.2297065e-10
0.79,1.3660565e-10
0.795,1.5171168e-10
0.8,1.6844145e-10
0.805,1.8696246e-10
0.81,2.0745805e-10
0.815,2.3012881e-10
0.82,2.5519495e-10
0.825,2.8289787e-10
0.83,3.1350004e-10
0.835,3.4729038e-10
0.84,3.8458246e-10
0.845,4.2572062e-10
0.85,4.7107934e-10
0.855,5.2106614e-10
0.86,5.7612637e-10
0.865,6.3674474e-10
0.87,7.0344836e-10
0.875,7.7680889e-10
0.88,8.5744988e-10
0.885,9.4604689e-10
0.89,1.0433342e-09
0.895,1.1501063e-09
0.9,1.2672259e-09
0.905,1.3956265e-09
0.91,1.5363193e-09
0.915,1.6903979e-09
0.92,1.8590434e-09
0.925,2.0435338e-09
0.93,2.2452475e-09
0.935,2.4656734e-09
0.94,2.7064154e-09
0.945,2.9692049e-09
0.95,3.2559035e-09
0.955,3.5685182e-09
0.96,3.9092076e-09
0.965,4.2802919e-09
0.97,4.6842666e-09
0.975,5.1238103e-09
0.98,5.6017986e-09
0.985,6.1213176e-09
0.99,6.6856758e-09
0.995,7.2984191e-09
1.0,7.9633452e-09
1.005,8.6845195e-09
1.01,9.466291e-09
1.015,1.0313311e-08
1.02,1.1230548e-08
1.025,1.2223313e-08
1.03,1.329727e-08
1.035,1.4458465e-08
1.04,1.5713343e-08
1.045,1.7068774e-08
1.05,1.8532074e-08
1.055,2.011103e-08
1.06,2.1813924e-08
1.065,2.3649564e-08
1.07,2.5627307e-08
1.075,2.775709e-08
1.08,3.0049459e-08
1.085,3.2515597e-08
1.09,3.5167357e-08
1.095,3.8017296e-08
1.1,4.1078703e-08
1.105,4.4365639e-08
1.11,4.7892964e-08
1.115,5.1676378e-08
1.12,5.5732454e-08
1.125,6.0078672e-08
1.13,6.4733462e-08
1.135,6.9716228e-08
1.14,7.5047399e-08
1.145,8.0748456e-08
1.15,8.6841967e-08
1.155,9.3351631e-08
1.16,1.003023e-07
1.165,1.0772004e-07
1.17,1.156321e-07
1.175,1.2406704e-07
1.18,1.3305467e-07
1.185,1.4262614e-07
1.19,1.5281391e-07
1.195,1.6365183e-07
1.2,1.7517513e-07
1.205,1.8742042e-07
1.21,2.0042575e-07
1.215,2.1423057e-07
1.22,2.2887578e-07
1.225,2.444037e-07
1.23,2.6085808e-07
1.235,2.7828411e-07
1.24,2.9672838e-07
1.245,3.1623887e-07
1.25,3.3686494e-07
1.255,3.5865733e-07
1.26,3.8166807e-07
1.265,4.059505e-07
1.27,4.315592e-07
1.275,4.5854999e-07
1.28,4.8697983e-07
1.285,5.169068e-07
1.29,5.4839006e-07
1.295,5.8148979e-07
1.3,6.1626712e-07
1.305,6.5278408e-07
1.31,6.9110354e-07
1.315,7.3128917e-07
1.32,7.7340535e-07
1.325,8.1751712e-07
1.33,8.6369013e-07
1.335,9.1199058e-07
1.34,9.6248515e-07
1.345,1.015241e-06
1.35,1.0703255e-06
1.355,1.1278064e-06
1.36,1.187752e-06
1.365,1.2502303e-06
1.37,1.3153099e-06
1.375,1.3830592e-06
1.38,1.4535468e-06
1.385,1.5268412e-06
1.39,1.603011e-06
1.395,1.6821246e-06
1.4,1.7642502e-06
1.405,1.849456e-06
1.41,1.9378097e-06
1.415,2.0293788e-06
1.42,2.1242306e-06
1.425,2.2224319e-06
1.43,2.3240488e-06
1.435,2.4291474e-06
1.44,2.5377929e-06
1.445,2.6500499e-06
1.45,2.7659825e-06
1.455,2.8856541e-06
1.46,3.0091272e-06
1.465,3.1364636e-06
1.47,3.2677242e-06
1.475,3.4029689e-06
1.48,3.542257e-06
1.485,3.6856462e-06
1.49,3.8331937e-06
1.495,3.9849553e-06
1.5,4.1409856e-06
