X_um,AbsElectricField_V_per_cm
0.0,313818.96
0.00037499887,313650.04
0.0015625,313431.45
0.0019374989,314223.48
0.003125,317006.31
0.0034999989,318335.91
0.0046875002,322891.6
0.0050624991,324770.6
0.0062500001,331132.76
0.006624999,333575.84
0.0078125,341791.01
0.0081874989,344816.2
0.0093750004,354946.57
0.0097499993,358576.19
0.0109375,370703.19
0.011312499,374964.82
0.0125,389193.49
0.012874999,394120.72
0.0140625,410584.6
0.014437499,416217.48
0.015625,435084.02
0.015999999,441468.74
0.0171875,462944.57
0.017562499,470131.71
0.018750001,494465.5
0.019125,502504.85
0.020312499,529981.71
0.020687498,538910.53
0.021875,569823.27
0.022249999,579641.56
0.0234375,614205.92
0.023812499,624828.97
0.025,662975.96
0.025374999,674151.37
0.026562501,715075.96
0.0269375,726259.64
0.028124999,767538.11
0.028499998,777944.75
0.0296875,812600.53
0.030437501,826600.01
0.03125,850469.65
0.031624999,858680.9
0.032031249,861047.37
0.032406248,864822.02
0.032812499,867695.66
0.033187501,869933.96
0.033593751,870946.79
0.03396875,871969.09
0.034375001,871605.55
0.03475,871700.79
0.03515625,870375.36
0.035531249,869783.11
0.035937499,867811.87
0.036312498,866716.11
0.036718749,864320.89
0.037093751,862854.33
0.037500001,860181.85
0.037875,858434.53
0.038281251,855575.29
0.03865625,853604.07
0.0390625,850609.27
0.039437499,848446.19
0.039843749,845340.07
0.040218748,842999.28
0.040624999,839788.39
0.041000001,837271.44
0.041406251,833950.93
0.04178125,831250.94
0.042187501,827809.04
0.0425625,824913.9
0.04296875,821335.06
0.043343749,818230.02
0.043749999,814497.13
0.044124998,811167.0
0.044531249,807263.16
0.044906251,803694.13
0.045312501,799603.95
0.0456875,795785.14
0.046093751,791495.9
0.04646875,787420.65
0.046875,782923.09
0.047249999,778589.82
0.047656249,773878.87
0.048031248,769291.62
0.048437499,764366.71
0.048812501,759535.17
0.049218751,754400.46
0.04959375,749339.61
0.050000001,744003.74
0.050375,738733.14
0.05078125,733208.95
0.051156249,727751.8
0.051562499,722055.67
0.051937498,716437.68
0.052343749,710588.86
0.052718751,704837.17
0.053125001,698856.96
0.0535,692999.15
0.053906251,686910.14
0.05428125,680973.3
0.0546875,674798.62
0.055062499,668808.71
0.055468749,662571.35
0.055843748,656552.68
0.056249999,650274.96
0.056625001,644249.85
0.057031251,637953.0
0.05740625,631941.58
0.057812501,625645.42
0.0581875,619665.61
0.05859375,613388.31
0.058968749,607455.84
0.059374999,601213.9
0.059749998,595342.43
0.060156249,589150.62
0.060531251,583351.96
0.060937501,577223.49
0.0613125,571507.75
0.061718751,565454.44
0.06209375,559830.24
0.0625,553862.78
0.062875003,548337.26
0.063281253,542465.08
0.063656248,537043.71
0.064062499,531274.55
0.064437501,525960.82
0.064843751,520299.4
0.065218747,515094.9
0.065624997,509542.77
0.066,504447.91
0.06640625,499005.26
0.066781253,494020.07
0.067187503,488687.08
0.067562498,483811.74
0.067968749,478589.39
0.068343751,473824.71
0.068750001,468714.0
0.069124997,464063.87
0.069531247,459057.97
0.06990625,452395.0
0.0703125,447238.57
0.071125001,438221.63
0.071874999,431621.09
0.072249994,427331.95
0.073437497,412621.88
0.0738125,408661.06
0.075000003,396294.35
0.075374998,392521.44
0.076562501,380817.34
0.076937497,377225.5
0.078125,366111.21
0.078499995,362686.23
0.079687499,352116.79
0.080062494,348842.41
0.081249997,338773.84
0.081625,335632.53
0.082812503,326018.77
0.083187498,322992.34
0.084375001,313787.34
0.084749997,310858.19
0.0859375,302020.36
0.086312495,299173.38
0.087499999,290671.87
0.087874994,287896.73
0.089062497,279717.64
0.0894375,277010.85
0.090625003,269161.17
0.090999998,266527.23
0.092187501,259034.31
0.092562497,256485.17
0.09375,249390.98
0.094124995,246944.03
0.095312499,240295.98
0.095687494,237970.94
0.096874997,231812.27
0.09725,229628.0
0.098437503,223990.69
0.098812498,221962.68
0.1,216864.14
0.100375,215002.83
0.1015625,210445.52
0.1019375,208755.19
0.103125,204726.8
0.10349999,203203.93
0.1046875,199673.93
0.1050625,198303.51
0.10625,195209.33
0.106625,193956.64
0.1078125,191167.96
0.1081875,189962.7
0.109375,187205.82
0.10975,185916.32
0.1109375,182640.8
0.11131249,181042.56
0.1125,176246.24
0.112875,174011.2
0.1140625,166151.4
0.1144375,162937.76
0.115625,150288.35
0.116,146051.81
0.1171875,128485.56
0.1175625,123706.21
0.11875,102531.34
0.11912499,98627.82
0.1203125,81542.965
0.1206875,78972.343
0.121875,73423.403
0.12225,71263.697
0.1234375,64464.799
0.1238125,62472.532
0.125,54988.772
0.125375,53254.062
0.12656251,46978.604
0.12693751,45498.071
0.128125,40317.244
0.1285,39062.738
0.1296875,34787.453
0.13006251,33725.341
0.13124999,30180.429
0.131625,29279.053
0.1328125,26320.708
0.1331875,25552.662
0.13437501,23066.965
0.13475001,22409.321
0.1359375,20306.714
0.1363125,19740.51
0.1375,17950.418
0.13787501,17459.775
0.13906249,15926.64
0.1394375,15370.664
0.140625,14097.566
0.14300001,11334.17
0.14375,10727.666
0.1445,10231.762
0.15000001,7960.7764
0.15350001,6248.8289
0.15625,5336.3897
0.15975,4259.8926
0.16249999,3693.2274
0.16600001,2937.9195
0.16875,2557.1091
0.17225,2027.6274
0.175,1763.3098
0.17850001,1397.7595
0.18125001,1213.3133
0.18475001,970.4467
0.1875,845.13913
0.191,702.15251
0.19374999,626.36494
0.19725001,553.15989
0.2,512.15363
