X_um,AbsElectricField_V_per_cm
0.0,255275.34
0.00037499887,255127.35
0.0015625,254905.8
0.0019374989,255389.75
0.003125,257057.17
0.0034999989,257872.01
0.0046875002,260606.55
0.0050624991,261762.7
0.0062500001,265594.2
0.006624999,267104.19
0.0078125,272071.63
0.0081874989,273950.19
0.0093750004,280102.05
0.0097499993,282366.57
0.0109375,289761.72
0.011312499,292432.7
0.0125,301141.46
0.012874999,304242.92
0.0140625,314348.21
0.014437499,317908.03
0.015625,329506.75
0.015999999,333556.9
0.0171875,346761.63
0.017562499,351338.53
0.018750001,366279.72
0.019125,371424.44
0.020312499,388253.25
0.020687498,394011.68
0.021875,412903.43
0.022249999,419326.0
0.0234375,440484.07
0.023812499,447624.39
0.025,471282.14
0.025374999,479192.92
0.026562501,505600.74
0.0269375,514323.42
0.028124999,543638.95
0.028499998,553578.2
0.0296875,583744.88
0.030437501,599186.87
0.03125,621086.79
0.031624999,637890.4
0.032031249,652685.76
0.032406248,664627.37
0.032812499,678510.32
0.033187501,690731.53
0.033593751,705043.67
0.03396875,717338.94
0.034375001,731854.12
0.03475,743964.54
0.03515625,758359.73
0.035531249,769951.47
0.035937499,783767.88
0.036312498,794441.16
0.036718749,807092.74
0.037093751,816420.81
0.037500001,827246.07
0.037875,834852.25
0.038281251,843266.16
0.03865625,848909.09
0.0390625,854563.39
0.039437499,858197.1
0.039843749,861091.43
0.040218748,862871.45
0.040624999,863379.3
0.041000001,863581.96
0.041406251,862229.33
0.04178125,861161.48
0.042187501,858454.49
0.0425625,856393.53
0.04296875,852736.08
0.043343749,849905.58
0.043749999,845589.92
0.044124998,842157.08
0.044531249,837379.88
0.044906251,833464.16
0.045312501,828351.79
0.0456875,824036.39
0.046093751,818666.57
0.04646875,814009.67
0.046875,808429.19
0.047249999,803472.97
0.047656249,797709.92
0.048031248,792487.4
0.048437499,786559.88
0.048812501,781099.58
0.049218751,775021.15
0.04959375,769349.99
0.050000001,763133.1
0.050375,757277.95
0.05078125,750935.78
0.051156249,744924.0
0.051562499,738471.36
0.051937498,732330.77
0.052343749,725784.17
0.052718751,719542.64
0.053125001,712920.09
0.0535,706604.99
0.053906251,699925.54
0.05428125,693563.14
0.0546875,686846.3
0.055062499,680461.35
0.055468749,673726.57
0.055843748,667341.91
0.056249999,660608.1
0.056625001,654244.41
0.057031251,647529.51
0.05740625,641205.27
0.057812501,634526.0
0.0581875,628257.42
0.05859375,621629.05
0.058968749,615430.17
0.059374999,608866.49
0.059749998,602749.35
0.060156249,596262.61
0.060531251,590237.45
0.060937501,583838.56
0.0613125,577914.01
0.061718751,571612.65
0.06209375,565795.94
0.0625,559600.84
0.062875003,553897.8
0.063281253,547816.65
0.063656248,542231.53
0.064062499,536270.39
0.064437501,530805.52
0.064843751,524967.58
0.065218747,519623.46
0.065624997,513908.81
0.066,508684.85
0.06640625,503092.35
0.066781253,497987.69
0.067187503,492516.35
0.067562498,487530.34
0.067968749,482180.11
0.068343751,477312.88
0.068750001,472083.77
0.069124997,467338.81
0.069531247,462222.74
0.06990625,455423.21
0.0703125,450136.83
0.071125001,440960.96
0.071874999,434244.28
0.072249994,429889.1
0.073437497,414918.91
0.0738125,410902.67
0.075000003,398346.11
0.075374998,394525.0
0.076562501,382657.08
0.076937497,379023.41
0.078125,367767.11
0.078499995,364305.93
0.079687499,353613.43
0.080062494,350307.91
0.081249997,340132.91
0.081625,336965.01
0.082812503,327259.46
0.083187498,324210.47
0.084375001,314926.33
0.084749997,311978.12
0.0859375,303071.72
0.086312495,300208.52
0.087499999,291646.66
0.087874994,288857.38
0.089062497,280623.66
0.0894375,277904.03
0.090625003,270003.12
0.090999998,267356.85
0.092187501,259814.29
0.092562497,257252.77
0.09375,250109.52
0.094124995,247649.81
0.095312499,240953.15
0.095687494,238614.94
0.096874997,232408.65
0.09725,230210.99
0.098437503,224527.94
0.098812498,222486.62
0.1,217345.11
0.100375,215470.89
0.1015625,210874.11
0.1019375,209171.53
0.103125,205107.57
0.10349999,203573.31
0.1046875,200011.73
0.1050625,198630.86
0.10625,195508.94
0.106625,194246.72
0.1078125,191433.78
0.1081875,190219.8
0.109375,187441.57
0.10975,186143.99
0.1109375,182849.32
0.11131249,181243.42
0.1125,176429.33
0.112875,174186.86
0.1140625,166309.6
0.1144375,163088.69
0.115625,150420.89
0.116,146177.64
0.1171875,128591.58
0.1175625,123807.32
0.11875,102616.23
0.11912499,98711.451
0.1203125,81638.773
0.1206875,79067.724
0.121875,73521.904
0.12225,71360.477
0.1234375,64556.389
0.1238125,62562.105
0.125,55072.636
0.125375,53335.991
0.12656251,47055.202
0.12693751,45572.924
0.128125,40387.366
0.1285,39131.319
0.1296875,34851.904
0.13006251,33788.438
0.13124999,30239.926
0.131625,29337.354
0.1328125,26375.859
0.1331875,25606.748
0.13437501,23118.268
0.13475001,22459.667
0.1359375,20354.574
0.1363125,19787.5
0.1375,17995.158
0.13787501,17503.713
0.13906249,15968.521
0.1394375,15411.545
0.140625,14137.296
0.14300001,11369.134
0.14375,10761.633
0.1445,10264.499
0.15000001,7989.2434
0.15350001,6271.5261
0.15625,5356.806
0.15975,4276.5057
0.16249999,3708.2431
0.16600001,2950.0286
0.16875,2567.8739
0.17225,2036.2555
0.175,1770.8834
0.17850001,1403.8267
0.18125001,1218.6032
0.18475001,974.73535
0.1875,848.89432
0.191,705.32773
0.19374999,629.22473
0.19725001,555.73885
0.2,514.57225
