gate_V,drain_TotalCurrent_A
0.0,3.9257915e-16
-0.005,1.5983563e-17
-0.01,7.6661669e-17
-0.015,-2.3293118e-16
-0.02,3.5485737000000004e-16
-0.025,-1.5100788000000002e-16
-0.03,-6.390523600000001e-16
-0.035,2.8833248000000004e-16
-0.04,1.3545975e-16
-0.045,3.1220856e-16
-0.05,3.7772702e-17
-0.055,4.3207265000000005e-16
-0.06,9.3604992e-17
-0.065,2.5027094e-16
-0.07,2.4314017e-16
-0.075,-1.3942035000000002e-16
-0.08,-4.3121179e-18
-0.085,2.1581601000000003e-16
-0.09,2.815708e-16
-0.095,-2.4506796000000003e-16
-0.1,-1.1459295000000002e-16
-0.105,-4.5261682e-16
-0.11,3.6312022000000003e-16
-0.115,-2.5578394e-16
-0.12,4.9429549e-17
-0.125,-1.8814801000000002e-16
-0.13,3.0352443000000004e-16
-0.135,1.4949898000000002e-16
-0.14,3.1454267999999997e-18
-0.145,3.1152205e-16
-0.15,-1.303191e-16
-0.155,-9.7956655e-17
-0.16,2.4023506000000004e-16
-0.165,-5.4353191e-16
-0.17,-4.6441197e-16
-0.175,5.103546300000001e-16
-0.18,-2.4973513000000003e-16
-0.185,-1.2223496e-16
-0.19,2.9911832e-16
-0.195,1.2052291e-16
-0.2,-2.5937877e-16
-0.205,2.988726e-16
-0.21,-5.4581664e-17
-0.215,5.2472342e-17
-0.22,-4.7547335e-16
-0.225,4.0793076e-16
-0.23,5.9596442e-16
-0.235,3.5372196000000005e-16
-0.24,3.8690436000000004e-16
-0.245,9.8278536e-17
-0.25,3.262311e-17
-0.255,2.8310528000000004e-16
-0.26,1.8915765e-16
-0.265,4.7164466000000003e-17
-0.27,-1.6502736000000002e-17
-0.275,-5.6183912999999996e-18
-0.28,-1.6892123000000002e-16
-0.285,7.685173500000001e-16
-0.29,1.7383015e-16
-0.295,2.5474867000000004e-16
-0.3,-6.0674218e-17
-0.305,2.8032761e-17
-0.31,2.5921986000000002e-16
-0.315,3.4587389000000003e-16
-0.32,3.1310505000000003e-16
-0.325,4.176198e-16
-0.33,2.7792453e-16
-0.335,2.5294236000000004e-16
-0.34,3.0055077000000003e-16
-0.345,4.4566454e-16
-0.35,-7.5726116e-17
-0.355,6.6767492e-17
-0.36,2.0181478000000002e-16
-0.365,1.5051631e-16
-0.37,7.7390207e-16
-0.375,7.455787800000001e-16
-0.38,1.0068461e-15
-0.385,9.9127779e-16
-0.39,7.7722273e-16
-0.395,6.684945900000001e-16
-0.4,8.9006262e-16
-0.405,7.903669e-16
-0.41,9.946619900000001e-16
-0.415,6.939044800000001e-16
-0.42,1.2397451e-15
-0.425,1.2625388e-15
-0.43,1.1001725e-15
-0.435,1.2397619e-15
-0.44,1.7338363e-15
-0.445,1.4037099e-15
-0.45,9.512971e-16
-0.455,1.5847576e-15
-0.46,1.1714457e-15
-0.465,1.3091707e-15
-0.47,1.2368905e-15
-0.475,1.3604102e-15
-0.48,1.7839984e-15
-0.485,2.0491085e-15
-0.49,1.9280617e-15
-0.495,2.2168305e-15
-0.5,2.2662196e-15
-0.505,2.1046138e-15
-0.51,2.5339401e-15
-0.515,2.7990406e-15
-0.52,2.8944868e-15
-0.525,2.8798907e-15
-0.53,2.8849823e-15
-0.535,3.2201701e-15
-0.54,3.3240051e-15
-0.545,3.75649e-15
-0.55,3.7678082e-15
-0.555,4.1798246e-15
-0.56,4.0614346e-15
-0.565,4.4880813e-15
-0.57,4.8230021e-15
-0.575,4.7279964e-15
-0.58,5.2114105e-15
-0.585,5.5206587e-15
-0.59,6.1473456e-15
-0.595,6.0194386e-15
-0.6,6.8683074e-15
-0.605,7.0533512e-15
-0.61,7.9018687e-15
-0.615,7.7041831e-15
-0.62,8.2558914e-15
-0.625,8.5009491e-15
-0.63,8.8555733e-15
-0.635,9.5763437e-15
-0.64,9.4498433e-15
-0.645,1.0529555e-14
-0.65,1.0778224e-14
-0.655,1.1054791e-14
-0.66,1.1693349e-14
-0.665,1.2023952e-14
-0.67,1.2828613e-14
-0.675,1.3526301e-14
-0.68,1.4340757e-14
-0.685,1.482102e-14
-0.69,1.5406124e-14
-0.695,1.6234057e-14
-0.7,1.6919999e-14
