branch,case,node,source_uploaded_file,rows,grid_start,grid_end,max_grid_error,duplicate_x,endpoint_abs_current_A,status,SS_mVdec,SS_R2,SS_fit_points,E_wall_max_V_per_cm,E_peak_X_um,Peak_inside_formal_ROI
R6A,MEB36_T300,n35,R6A_GIDL_ON_1.csv,141,0.0,-0.7,1.0668549377257364e-16,False,1.3777737e-14,PASS,,,,,,
R6A,MEB31_T300,n36,R6A_GIDL_ON_2.csv,141,0.0,-0.7,1.0668549377257364e-16,False,1.9624468e-14,PASS,,,,,,
R6A,MEB41_T300,n37,R6A_GIDL_ON_3.csv,141,0.0,-0.7,1.0668549377257364e-16,False,7.7683012e-15,PASS,,,,,,
R6A,MEB36_T340,n76,R6A_GIDL_ON_4.csv,141,0.0,-0.7,1.0668549377257364e-16,False,2.0596211e-14,PASS,,,,,,
R6A,MEB31_T340,n79,R6A_GIDL_ON_5.csv,141,0.0,-0.7,1.0668549377257364e-16,False,2.8417863e-14,PASS,,,,,,
R6A,MEB41_T340,n82,R6A_GIDL_ON_6.csv,141,0.0,-0.7,1.0668549377257364e-16,False,1.1482812e-14,PASS,,,,,,
R6A,MEB36_T380,n85,R6A_GIDL_ON_7.csv,141,0.0,-0.7,1.0668549377257364e-16,False,7.2793771e-14,PASS,,,,,,
R6A,MEB31_T380,n88,R6A_GIDL_ON_8.csv,141,0.0,-0.7,1.0668549377257364e-16,False,8.3890071e-14,PASS,,,,,,
R6A,MEB41_T380,n91,R6A_GIDL_ON_9.csv,141,0.0,-0.7,1.0668549377257364e-16,False,6.0486855e-14,PASS,,,,,,
R6B,MEB36_T300,n35,R6A_GIDL_OFF_1.csv,141,0.0,-0.7,1.0668549377257364e-16,False,4.2880983000000004e-16,PASS,,,,,,
R6B,MEB41_T300,n37,R6A_GIDL_OFF_2.csv,141,0.0,-0.7,1.0668549377257364e-16,False,1.0003367000000001e-16,PASS,,,,,,
R6B,MEB36_T340,n75,R6A_GIDL_OFF_3.csv,141,0.0,-0.7,1.0668549377257364e-16,False,6.6050197e-16,PASS,,,,,,
R6B,MEB41_T340,n78,R6A_GIDL_OFF_4.csv,141,0.0,-0.7,1.0668549377257364e-16,False,4.858473400000001e-16,PASS,,,,,,
R6B,MEB36_T380,n81,R6A_GIDL_OFF_5.csv,141,0.0,-0.7,1.0668549377257364e-16,False,4.548725e-14,PASS,,,,,,
R6B,MEB41_T380,n84,R6A_GIDL_OFF_6.csv,141,0.0,-0.7,1.0668549377257364e-16,False,4.5594188e-14,PASS,,,,,,
R6C,MEB36_T340_VD0.05,n73,R6C_DC_1.csv,301,0.0,1.5,1.1535911115245767e-16,False,,PASS,126.02965949003892,0.9997439323518491,101.0,,,
R6C,MEB41_T340_VD0.05,n76,R6C_DC_2.csv,301,0.0,1.5,1.1535911115245767e-16,False,,PASS,126.0835837812142,0.9997306376341092,101.0,,,
R6C,MEB36_T380_VD0.05,n85,R6C_DC_3.csv,301,0.0,1.5,1.1535911115245767e-16,False,,PASS,163.85703998393257,0.9923042349956178,111.0,,,
R6C,MEB41_T380_VD0.05,n88,R6C_DC_4.csv,301,0.0,1.5,1.1535911115245767e-16,False,,PASS,163.88330986579896,0.9923163451777678,111.0,,,
R6C,MEB36_T340_VD1.0,n95,R6C_DC_5.csv,301,0.0,1.5,1.1535911115245767e-16,False,,PASS,127.7709208169428,0.9995445584983179,103.0,,,
R6C,MEB41_T340_VD1.0,n96,R6C_DC_6.csv,301,0.0,1.5,1.1535911115245767e-16,False,,PASS,127.74663802771306,0.9995763683391161,103.0,,,
R6C,MEB36_T380_VD1.0,n97,R6C_DC_7.csv,301,0.0,1.5,1.1535911115245767e-16,False,,PASS,165.71326155980154,0.9923548745004637,101.0,,,
R6C,MEB41_T380_VD1.0,n98,R6C_DC_8.csv,301,0.0,1.5,1.1535911115245767e-16,False,,PASS,165.74405585736628,0.992369959698614,101.0,,,
R6D,MEB36_T300,n35,R6A_TDR.csv,251,,,,,,PASS,,,,867936.6,0.03865625,True
R6D,MEB41_T300,n37,R6A_TDR_2.csv,250,,,,,,PASS_WITH_ROW_NOTE,,,,857194.93,0.0425625,True
R6D,MEB36_T340,n76,R6A_TDR_3.csv,251,,,,,,PASS,,,,864258.25,0.03865625,True
R6D,MEB41_T340,n82,R6A_TDR_4.csv,251,,,,,,PASS,,,,853445.96,0.0425625,True
R6D,MEB36_T380,n85,R6A_TDR_5.csv,251,,,,,,PASS,,,,860195.18,0.03865625,True
R6D,MEB41_T380,n91,R6A_TDR_6.csv,251,,,,,,PASS,,,,849313.54,0.04296875,True
