gate_V,drain_TotalCurrent_A
0.0,9.1982552e-16
0.005,9.324995500000001e-16
0.01,1.1618238e-15
0.015,1.0641395e-15
0.02,1.0571433e-15
0.025,1.2210357e-15
0.03,1.2497158e-15
0.035,1.2678559e-15
0.04,1.4190969e-15
0.045,1.5915538e-15
0.05,1.5391911e-15
0.055,1.8155874e-15
0.06,1.7209792e-15
0.065,1.9425256e-15
0.07,1.9900022e-15
0.075,2.0773871e-15
0.08,2.130486e-15
0.085,2.3265414e-15
0.09,2.6220344e-15
0.095,2.7133117e-15
0.1,2.8748034e-15
0.105,3.1778417e-15
0.11,3.4439678e-15
0.115,3.6246672e-15
0.12,3.9623747e-15
0.125,4.2069558e-15
0.13,4.5643303e-15
0.135,4.978955e-15
0.14,5.4387038e-15
0.145,5.6622313e-15
0.15,6.1859104e-15
0.155,6.8730944e-15
0.16,7.1102642e-15
0.165,7.8730486e-15
0.17,8.3107528e-15
0.175,9.0378496e-15
0.18,9.9254532e-15
0.185,1.0917551e-14
0.19,1.1581337e-14
0.195,1.2643499e-14
0.2,1.3846134e-14
0.205,1.4895194e-14
0.21,1.6235754e-14
0.215,1.7654248e-14
0.22,1.9178561e-14
0.225,2.0931141e-14
0.23,2.2628238e-14
0.235,2.4748291e-14
0.24,2.6902761e-14
0.245,2.9504889e-14
0.25,3.1922924e-14
0.255,3.487712e-14
0.26,3.8077155e-14
0.265,4.1402007e-14
0.27,4.530537e-14
0.275,4.9527113e-14
0.28,5.3941201e-14
0.285,5.8672587e-14
0.29,6.4183583e-14
0.295,6.995363e-14
0.3,7.6540429e-14
0.305,8.356807e-14
0.31,9.1348494e-14
0.315,9.9842208e-14
0.32,1.0917114e-13
0.325,1.1929705e-13
0.33,1.3025545e-13
0.335,1.4254341e-13
0.34,1.559279e-13
0.345,1.7070613e-13
0.35,1.8653537e-13
0.355,2.0408231e-13
0.36,2.2351468e-13
0.365,2.4463064e-13
0.37,2.6771561e-13
0.375,2.9329461e-13
0.38,3.2108955e-13
0.385,3.51887e-13
0.39,3.8508146e-13
0.395,4.2221688e-13
0.4,4.6229362e-13
0.405,5.0669978e-13
0.41,5.5517559e-13
0.415,6.085538e-13
0.42,6.6692741e-13
0.425,7.3104756e-13
0.43,8.0141289e-13
0.435,8.7897126e-13
0.44,9.6355068e-13
0.445,1.0567092e-12
0.45,1.158792e-12
0.455,1.2712542e-12
0.46,1.3941823e-12
0.465,1.5293952e-12
0.47,1.6780401e-12
0.475,1.8410892e-12
0.48,2.0205334e-12
0.485,2.2170789e-12
0.49,2.4331043e-12
0.495,2.6705565e-12
0.5,2.9309816e-12
0.505,3.2174717e-12
0.51,3.5321672e-12
0.515,3.8774393e-12
0.52,4.257164e-12
0.525,4.6743086e-12
0.53,5.1326204e-12
0.535,5.6361003e-12
0.54,6.1892606e-12
0.545,6.7972405e-12
0.55,7.4650178e-12
0.555,8.1990838e-12
0.56,9.0056657e-12
0.565,9.8917239e-12
0.57,1.086559e-11
0.575,1.1935668e-11
0.58,1.3111807e-11
0.585,1.44042e-11
0.59,1.5824285e-11
0.595,1.7384691e-11
0.6,1.9099748e-11
0.605,2.0983825e-11
0.61,2.3054725e-11
0.615,2.5329907e-11
0.62,2.7829924e-11
0.625,3.0576673e-11
0.63,3.3594423e-11
0.635,3.6909852e-11
0.64,4.0552127e-11
0.645,4.4553077e-11
0.65,4.8947878e-11
0.655,5.3774818e-11
0.66,5.9075934e-11
0.665,6.4897378e-11
0.67,7.1289486e-11
0.675,7.8307478e-11
0.68,8.601221e-11
0.685,9.4468843e-11
0.69,1.0375058e-10
0.695,1.1393557e-10
0.7,1.2511059e-10
0.705,1.373696e-10
0.71,1.5081561e-10
0.715,1.6556084e-10
0.72,1.8172728e-10
0.725,1.9944888e-10
0.73,2.1887093e-10
0.735,2.4015178e-10
0.74,2.6346312e-10
0.745,2.8899348e-10
0.75,3.1694584e-10
0.755,3.4754228e-10
0.76,3.8102334e-10
0.765,4.176496e-10
0.77,4.5770536e-10
0.775,5.0149686e-10
0.78,5.4935708e-10
0.785,6.0164616e-10
0.79,6.5875412e-10
0.795,7.2110255e-10
0.8,7.891466e-10
0.805,8.6337826e-10
0.81,9.443282e-10
0.815,1.0325691e-09
0.82,1.1287179e-09
0.825,1.233438e-09
0.83,1.3474452e-09
0.835,1.471508e-09
0.84,1.6064525e-09
0.845,1.7531656e-09
0.85,1.9125991e-09
0.855,2.0857737e-09
0.86,2.2737831e-09
0.865,2.4777982e-09
0.87,2.6990712e-09
0.875,2.9389415e-09
0.88,3.1988391e-09
0.885,3.4802912e-09
0.89,3.7849256e-09
0.895,4.1144781e-09
0.9,4.4707965e-09
0.905,4.8558467e-09
0.91,5.2717188e-09
0.915,5.7206323e-09
0.92,6.204944e-09
0.925,6.7271508e-09
0.93,7.2899001e-09
0.935,7.8959924e-09
0.94,8.5483888e-09
0.945,9.2502182e-09
0.95,1.0004781e-08
0.955,1.0815557e-08
0.96,1.1686212e-08
0.965,1.2620598e-08
0.97,1.3622764e-08
0.975,1.469696e-08
0.98,1.5847636e-08
0.985,1.7079452e-08
0.99,1.8397276e-08
0.995,1.9806188e-08
1.0,2.131148e-08
1.005,2.2918657e-08
1.01,2.4633434e-08
1.015,2.6461734e-08
1.02,2.8409684e-08
1.025,3.0483607e-08
1.03,3.2690019e-08
1.035,3.5035611e-08
1.04,3.7527248e-08
1.045,4.0171945e-08
