X_um,AbsElectricField_V_per_cm
0.0,241022.37
0.00037499887,240881.8
0.0015625,240667.52
0.0019374989,241077.07
0.003125,242479.61
0.0034999989,243170.0
0.0046875002,245471.46
0.0050624991,246452.55
0.0062500001,249681.15
0.006624999,250964.69
0.0078125,255156.95
0.0081874989,256756.65
0.0093750004,261957.59
0.0097499993,263889.51
0.0109375,270153.28
0.011312499,272436.27
0.0125,279826.88
0.012874999,282482.9
0.0140625,291075.01
0.014437499,294129.35
0.015625,304009.09
0.015999999,307490.59
0.0171875,318756.61
0.017562499,322697.86
0.018750001,335462.55
0.019125,339900.14
0.020312499,354291.39
0.020687498,359266.03
0.021875,375429.45
0.022249999,380986.12
0.0234375,399087.66
0.023812499,405275.26
0.025,425503.27
0.025374999,432373.02
0.026562501,454930.83
0.0269375,462531.86
0.028124999,487561.53
0.028499998,496256.05
0.0296875,522101.14
0.030437501,535157.57
0.03125,552869.53
0.031624999,567867.34
0.032031249,581199.35
0.032406248,591860.16
0.032812499,603935.57
0.033187501,615083.92
0.033593751,627766.15
0.03396875,639331.7
0.034375001,652577.25
0.03475,664478.67
0.03515625,678220.24
0.035531249,690337.25
0.035937499,704453.15
0.036312498,716608.8
0.036718749,730900.18
0.037093751,742844.64
0.037500001,757000.35
0.037875,768403.48
0.038281251,781980.81
0.03865625,792438.59
0.0390625,804851.49
0.039437499,813924.62
0.039843749,824499.85
0.040218748,831788.02
0.040624999,839889.74
0.041000001,845135.11
0.041406251,850392.5
0.04178125,853546.74
0.042187501,855993.14
0.0425625,857194.93
0.04296875,857157.89
0.043343749,856671.01
0.043749999,854650.39
0.044124998,852782.5
0.044531249,849286.19
0.044906251,846328.65
0.045312501,841784.53
0.0456875,837981.97
0.046093751,832710.05
0.04646875,828254.08
0.046875,822478.73
0.047249999,817513.69
0.047656249,811385.08
0.048031248,806018.55
0.048437499,799635.59
0.048812501,793948.62
0.049218751,787376.4
0.04959375,781432.01
0.050000001,774714.93
0.050375,768564.23
0.05078125,761734.44
0.051156249,755420.75
0.051562499,748503.74
0.051937498,742065.11
0.052343749,735082.85
0.052718751,728553.48
0.053125001,721526.19
0.0535,714937.18
0.053906251,707884.12
0.05428125,701263.71
0.0546875,694203.51
0.055062499,687577.28
0.055468749,680527.82
0.055843748,673918.68
0.056249999,666897.0
0.056625001,660325.24
0.057031251,653347.29
0.05740625,646830.68
0.057812501,639911.18
0.0581875,633465.08
0.05859375,626617.37
0.058968749,620254.89
0.059374999,613490.9
0.059749998,607223.11
0.060156249,600553.4
0.060531251,594389.56
0.060937501,587823.46
0.0613125,581771.29
0.061718751,575317.04
0.06209375,569382.88
0.0625,563047.9
0.062875003,557236.75
0.063281253,551027.52
0.063656248,545342.86
0.064062499,539264.37
0.064437501,533707.77
0.064843751,527762.19
0.065218747,522333.47
0.065624997,516519.93
0.066,511217.88
0.06640625,505534.39
0.066781253,500357.54
0.067187503,494802.36
0.067562498,489749.59
0.067968749,484321.99
0.068343751,479392.98
0.068750001,474092.35
0.069124997,469290.34
0.069531247,464107.82
0.06990625,457226.1
0.0703125,451861.14
0.071125001,442590.02
0.071874999,435803.73
0.072249994,431409.06
0.073437497,416282.87
0.0738125,412233.52
0.075000003,399563.32
0.075374998,395713.45
0.076562501,383747.61
0.076937497,380088.99
0.078125,368747.91
0.078499995,365265.16
0.079687499,354499.25
0.080062494,351175.17
0.081249997,340936.73
0.081625,337752.97
0.082812503,327992.73
0.083187498,324930.31
0.084375001,315599.06
0.084749997,312639.5
0.0859375,303692.32
0.086312495,300819.48
0.087499999,292221.8
0.087874994,289424.14
0.089062497,281158.1
0.0894375,278430.87
0.090625003,270499.74
0.090999998,267846.21
0.092187501,260274.41
0.092562497,257705.62
0.09375,250533.51
0.094124995,248066.32
0.095312499,241341.06
0.095687494,238995.14
0.096874997,232760.8
0.09725,230555.29
0.098437503,224845.27
0.098812498,222796.12
0.1,217629.26
0.100375,215747.44
0.1015625,211127.34
0.1019375,209417.55
0.103125,205332.56
0.10349999,203791.58
0.1046875,200211.32
0.1050625,198824.28
0.10625,195685.95
0.106625,194418.09
0.1078125,191590.79
0.1081875,190371.65
0.109375,187580.78
0.10975,186278.43
0.1109375,182972.43
0.11131249,181362.0
0.1125,176537.39
0.112875,174290.52
0.1140625,166402.93
0.1144375,163177.73
0.115625,150499.05
0.116,146251.83
0.1171875,128654.08
0.1175625,123866.92
0.11875,102666.28
0.11912499,98760.751
0.1203125,81695.288
0.1206875,79123.989
0.121875,73580.008
0.12225,71417.567
0.1234375,64610.412
0.1238125,62614.939
0.125,55122.099
0.125375,53384.313
0.12656251,47100.378
0.12693751,45617.071
0.128125,40428.723
0.1285,39171.768
0.1296875,34889.916
0.13006251,33825.651
0.13124999,30275.017
0.131625,29371.74
0.1328125,26408.387
0.1331875,25638.648
0.13437501,23148.527
0.13475001,22489.362
0.1359375,20382.801
0.1363125,19815.214
0.1375,18021.546
0.13787501,17529.628
0.13906249,15993.223
0.1394375,15435.656
0.140625,14160.726
0.14300001,11389.751
0.14375,10781.662
0.1445,10283.803
0.15000001,8006.0272
0.15350001,6284.9094
0.15625,5368.8425
0.15975,4286.3005
0.16249999,3717.0945
0.16600001,2957.1669
0.16875,2574.2188
0.17225,2041.3411
0.175,1775.3471
0.17850001,1407.4025
0.18125001,1221.7205
0.18475001,977.26265
0.1875,851.10706
0.191,707.19866
0.19374999,630.90968
0.19725001,557.25831
