gate_V,drain_TotalCurrent_A
0.0,-6.3627806e-17
-0.005,-1.239711e-16
-0.01,7.1196712e-17
-0.015,1.4060116000000002e-16
-0.02,-3.2800499000000004e-16
-0.025,-1.5179881000000001e-16
-0.03,1.4510547e-16
-0.035,2.3915576e-16
-0.04,4.1318844e-17
-0.045,3.4165507e-16
-0.05,2.1385164000000001e-16
-0.055,2.5619885e-16
-0.06,-1.9386371e-17
-0.065,3.2244249e-16
-0.07,3.6389702000000005e-16
-0.075,-1.8001884000000003e-16
-0.08,-1.3425114e-16
-0.085,6.1523998e-17
-0.09,-1.8898035000000003e-16
-0.095,-4.4705049e-16
-0.1,9.169559000000001e-17
-0.105,-1.0055847e-16
-0.11,-1.6261956000000002e-16
-0.115,9.1115226e-17
-0.12,-2.2627365e-16
-0.125,-2.7553042000000004e-16
-0.13,-5.2890891e-16
-0.135,1.2031992e-17
-0.14,8.2885392e-16
-0.145,-2.7571116000000004e-16
-0.15,3.8292871000000003e-16
-0.155,-1.5755363e-16
-0.16,3.2310435e-16
-0.165,-4.5480708e-16
-0.17,-1.1259711e-17
-0.175,2.8783055000000003e-16
-0.18,1.6255725000000002e-16
-0.185,-1.2637733e-16
-0.19,-2.3523468e-16
-0.195,-2.2101982000000002e-16
-0.2,1.7274704e-16
-0.205,-5.001936300000001e-16
-0.21,4.3866639000000005e-16
-0.215,4.864569e-16
-0.22,1.2522243e-17
-0.225,-1.3346789000000001e-16
-0.23,1.189878e-16
-0.235,4.1290419000000005e-16
-0.24,-5.440776800000001e-16
-0.245,-1.1638263e-16
-0.25,-3.8075679000000003e-16
-0.255,1.4749958e-16
-0.26,-1.1279914e-17
-0.265,-1.74813e-17
-0.27,-1.3810815e-16
-0.275,-1.3721097000000001e-16
-0.28,-9.270853100000001e-17
-0.285,1.7804555e-17
-0.29,2.7320982000000004e-16
-0.295,2.9343663e-16
-0.3,-3.7108823000000005e-16
-0.305,-5.2226387e-17
-0.31,-1.6081372000000001e-16
-0.315,-1.3412098000000002e-16
-0.32,-2.4554073e-16
-0.325,-4.9478043000000003e-17
-0.33,8.5668732e-17
-0.335,7.742465300000001e-17
-0.34,-1.138908e-16
-0.345,-5.9966996e-17
-0.35,2.0136515e-17
-0.355,-3.6604994e-17
-0.36,8.6051737e-17
-0.365,1.0634473e-16
-0.37,3.7712406e-17
-0.375,-4.9477905e-16
-0.38,7.1731483e-17
-0.385,2.9494766e-16
-0.39,-3.4149602e-16
-0.395,4.2362376000000003e-16
-0.4,2.0033351000000003e-16
-0.405,-1.289416e-16
-0.41,7.8409199e-17
-0.415,-2.2429586e-16
-0.42,-3.9000816e-17
-0.425,6.018193800000001e-16
-0.43,-2.8571042000000003e-16
-0.435,2.1843952000000002e-16
-0.44,-2.650524e-16
-0.445,5.7605866e-17
-0.45,1.8248167e-16
-0.455,4.51728e-16
-0.46,2.2529409e-16
-0.465,-2.4342261000000004e-16
-0.47,-8.7327473e-17
-0.475,-2.5154644e-16
-0.48,1.4594184e-16
-0.485,-2.9070642000000005e-16
-0.49,3.3127092999999996e-18
-0.495,4.1405912000000003e-16
-0.5,6.5768195e-17
-0.505,-2.4804008e-16
-0.51,6.5260935e-17
-0.515,-3.8841601000000004e-16
-0.52,1.4895059e-16
-0.525,2.6455661e-16
-0.53,2.0164892e-16
-0.535,-7.5020411e-17
-0.54,2.1192271000000003e-16
-0.545,2.5361039e-16
-0.55,1.4137636e-17
-0.555,-2.4419464e-17
-0.56,-2.4624162000000004e-16
-0.565,2.738071e-16
-0.57,1.5791668000000002e-16
-0.575,-1.3937631e-16
-0.58,-4.5480192e-17
-0.585,1.859152e-16
-0.59,-1.0118554000000001e-16
-0.595,2.6924729000000003e-16
-0.6,-1.4315448e-16
-0.605,-4.8233254e-16
-0.61,-3.775748e-16
-0.615,-9.363743e-18
-0.62,-6.3054944e-17
-0.625,7.981594299999999e-18
-0.63,-2.4992093e-16
-0.635,-2.6497701e-16
-0.64,1.9735545e-17
-0.645,-1.551342e-16
-0.65,5.7772383e-17
-0.655,4.7847358e-16
-0.66,-4.514768300000001e-16
-0.665,-3.1526054e-16
-0.67,2.3391694e-16
-0.675,2.2031013000000003e-16
-0.68,1.6433805e-16
-0.685,-2.7119956000000003e-16
-0.69,-1.2060653e-16
-0.695,8.7499422e-17
-0.7,-1.0003367000000001e-16
