gate_V,drain_TotalCurrent_A
0.0,2.2370844e-15
-0.005,1.9440029e-15
-0.01,2.241119e-15
-0.015,1.7985584e-15
-0.02,2.0591564e-15
-0.025,1.8303533e-15
-0.03,1.6345471e-15
-0.035,2.0076195e-15
-0.04,1.8468338e-15
-0.045,1.6641171e-15
-0.05,1.4163711e-15
-0.055,1.2922514e-15
-0.06,9.885011500000002e-16
-0.065,1.4791782e-15
-0.07,1.1372094e-15
-0.075,1.5224878e-15
-0.08,1.7776352e-15
-0.085,1.4654063e-15
-0.09,1.3065805e-15
-0.095,9.183864700000002e-16
-0.1,1.3059374e-15
-0.105,1.1337567e-15
-0.11,1.3914185e-15
-0.115,6.4721375e-16
-0.12,1.2439138e-15
-0.125,1.494239e-15
-0.13,1.3612366e-15
-0.135,1.1697175e-15
-0.14,9.1695973e-16
-0.145,1.1358776e-15
-0.15,1.3259045e-15
-0.155,8.900467200000001e-16
-0.16,9.801332e-16
-0.165,1.1836726e-15
-0.17,8.819154800000001e-16
-0.175,7.082945700000001e-16
-0.18,1.1613637e-15
-0.185,9.3176829e-16
-0.19,6.663813100000001e-16
-0.195,1.4937957e-15
-0.2,7.6393067e-16
-0.205,1.2967456e-15
-0.21,1.5726832e-15
-0.215,1.2033376e-15
-0.22,1.0978221e-15
-0.225,9.9687623e-16
-0.23,9.2036135e-16
-0.235,9.1364754e-16
-0.24,6.7327973e-16
-0.245,1.0649148e-15
-0.25,8.707335600000001e-16
-0.255,9.4374999e-16
-0.26,6.9871623e-16
-0.265,9.7641315e-16
-0.27,1.2215051e-15
-0.275,1.1866385e-15
-0.28,1.2784934e-15
-0.285,1.0608705e-15
-0.29,1.5975873e-15
-0.295,8.745717100000001e-16
-0.3,1.2717113e-15
-0.305,1.1007259e-15
-0.31,9.1036232e-16
-0.315,1.2175271e-15
-0.32,1.2862418e-15
-0.325,9.4716177e-16
-0.33,1.2037704e-15
-0.335,1.1738789e-15
-0.34,1.2065127e-15
-0.345,1.3664161e-15
-0.35,9.260740200000001e-16
-0.355,1.5552727e-15
-0.36,1.270556e-15
-0.365,1.2873435e-15
-0.37,1.3494236e-15
-0.375,1.3876349e-15
-0.38,1.4509567e-15
-0.385,1.6655052e-15
-0.39,1.3621991e-15
-0.395,1.4089938e-15
-0.4,1.3058698e-15
-0.405,1.9504737e-15
-0.41,2.2378795e-15
-0.415,1.6959072e-15
-0.42,1.5093643e-15
-0.425,1.4155735e-15
-0.43,1.7910383e-15
-0.435,2.0851979e-15
-0.44,2.1897142e-15
-0.445,1.9129496e-15
-0.45,2.1335093e-15
-0.455,2.1486146e-15
-0.46,2.1676641e-15
-0.465,2.4976644e-15
-0.47,2.242631e-15
-0.475,2.8466566e-15
-0.48,2.5833869e-15
-0.485,3.1393047e-15
-0.49,3.5505487e-15
-0.495,3.4662097e-15
-0.5,3.4700875e-15
-0.505,3.6314366e-15
-0.51,3.8422099e-15
-0.515,4.0174676e-15
-0.52,3.8488479e-15
-0.525,4.5523465e-15
-0.53,4.4797565e-15
-0.535,4.6357071e-15
-0.54,4.6542271e-15
-0.545,4.9532676e-15
-0.55,5.5082188e-15
-0.555,5.2181175e-15
-0.56,6.0134789e-15
-0.565,6.3757271e-15
-0.57,6.2325632e-15
-0.575,6.783365e-15
-0.58,6.7479709e-15
-0.585,7.4300218e-15
-0.59,7.4420357e-15
-0.595,7.8565386e-15
-0.6,8.2317525e-15
-0.605,8.6824189e-15
-0.61,8.9875714e-15
-0.615,9.6994779e-15
-0.62,1.0213086e-14
-0.625,1.0337282e-14
-0.63,1.0898272e-14
-0.635,1.1297639e-14
-0.64,1.167276e-14
-0.645,1.2461179e-14
-0.65,1.3166118e-14
-0.655,1.4145239e-14
-0.66,1.4478123e-14
-0.665,1.49416e-14
-0.67,1.5371624e-14
-0.675,1.6432289e-14
-0.68,1.6837037e-14
-0.685,1.7782759e-14
-0.69,1.8537381e-14
-0.695,1.9143954e-14
-0.7,2.0596211e-14
