MEB_nm,Lproj_nm,Cgd_abs_F,Ewall_max_Vcm,Ewall_peak_X_um,GIDL_ON_300K_A,GIDL_ON_norm_to_36,stage,confidence_note
31.0,17.0,1.8382548581620e-16,871969.09,0.03396875,1.96244680e-14,1.424360764,R5,formal R5
33.5,14.5,1.7608319434600e-16,869869.56,0.03631250,1.69199990e-14,1.228068078,R5,formal R5
36.0,12.0,1.6829627523660e-16,867936.60,0.03865625,1.37777370e-14,1.000000000,R5/R6.5 reference,exact overlap reproduction
38.5,9.5,1.6029858896830e-16,863581.96,0.04100000,1.05505370e-14,0.765767049,R5,formal R5
41.0,7.0,1.5230091511560e-16,857194.93,0.04256250,7.76830120e-15,0.563829982,R5/R6.5 reference,P1 historical screened-window candidate
43.0,5.0,1.4596929000000e-16,850925.62,0.04453125,5.68210000e-15,0.412411704,R6.5,stable extended point
45.0,3.0,1.3975704000000e-16,842971.43,0.04609375,3.93450000e-15,0.285569394,R6.5,stable extended point
47.0,1.0,1.3367808000000e-16,832607.27,0.04765625,2.01280000e-15,0.146090755,R6.5,stable extended point
48.0,0.0,1.3065280000000e-16,825733.44,0.04843750,1.93750000e-15,0.140625416,R6.5,P2 structural-boundary knee candidate
49.0,0.0,1.2768057000000e-16,818162.50,0.04921875,1.88600000e-15,0.136887502,R6.5,adjacent deeper-MEB challenger
51.0,0.0,1.2192450000000e-16,802740.97,0.05078125,3.25710000e-16,0.023640312,R6.5,low-current/background-sensitive; ranking low confidence
