MEB_nm,Temperature_K,GIDL_ON_A,GIDL_OFF_A,OFF_fraction,Ewall_Vcm,Ewall_peak_X_um,Vth_low_V,Vth_high_V,SS_low_mVdec,SS_high_mVdec,Ion_A,DIBL_mV_per_V,source_stage
36,300,1.37777370e-14,4.28809830e-16,0.031123386,867936.60,0.038656,0.932629,0.887843,106.817,106.975,4.14134100e-06,47.143,Run 6 formal
36,340,2.05962110e-14,6.60501970e-16,0.032069101,864258.25,0.038656,0.813206,0.767181,126.030,127.771,7.36878160e-06,48.447,Run 6 formal
36,380,7.27937710e-14,4.54872500e-14,0.624878329,860195.18,0.038656,0.693745,0.644068,163.857,165.713,1.12455600e-05,52.291,Run 6 formal
41,300,7.76830120e-15,1.00033670e-16,0.012877162,857194.93,0.042563,0.932631,0.887819,106.849,106.984,4.14047840e-06,47.170,Run 6 formal
41,340,1.14828120e-14,4.85847340e-16,0.042310833,853445.96,0.042563,0.813209,0.767154,126.084,127.747,7.36682710e-06,48.479,Run 6 formal
41,380,6.04868550e-14,4.55941880e-14,0.753786719,849313.54,0.042969,0.693749,0.644035,163.883,165.744,1.12419070e-05,52.331,Run 6 formal
48,300,1.93750000e-15,5.04000000e-17,0.026012903,825733.44,0.048437,0.932639,0.887755,106.868,107.034,4.13759000e-06,47.247,R6.5 300 K + extended thermal guardrail
48,340,3.66300000e-15,9.03300000e-16,0.246601147,821954.41,0.048437,0.813224,0.767080,126.122,127.907,7.36049000e-06,48.573,R6.5 extended thermal guardrail
48,380,4.94600000e-14,4.52600000e-14,0.915082895,817800.92,0.048437,0.693768,0.643937,163.965,165.798,1.12302000e-05,52.454,R6.5 extended thermal guardrail
49,300,1.88600000e-15,5.75000000e-17,0.030487805,818162.50,0.049219,0.932642,0.887741,106.890,107.057,4.13689000e-06,47.264,R6.5 300 K + extended thermal guardrail
49,340,2.04300000e-15,6.61000000e-16,0.323543808,814390.43,0.049219,0.813228,0.767064,126.172,127.876,7.35896000e-06,48.594,R6.5 extended thermal guardrail
49,380,4.82600000e-14,4.54800000e-14,0.942395358,810245.57,0.049219,0.693773,0.643915,163.976,165.811,1.12274000e-05,52.482,R6.5 extended thermal guardrail
