case_id,metric,source_file,rows,MEB_nm,mesh_code,temperature_K,VD_V,VG_V,frequency_Hz,value,aux_value,status,SS_low_points,SS_high_points,SS_low_R2,SS_high_R2
R5A_VD0_VG0_1MHz,Cgd,data/run05/raw/ac/r05a_ac_vd0_vgcenter0_1mhz.csv,3,36.0,1,300,0.0,0.0,1000000.0,1.9476464637104399e-16,1.9476464637104399e-16,PASS,,,,
R5A_VD1p2_VG0_1MHz,Cgd,data/run05/raw/ac/r05a_ac_vd1p2_vgcenter0_1mhz.csv,3,36.0,1,300,1.2,0.0,1000000.0,1.9474390272405003e-16,1.94743902724259e-16,PASS,,,,
R5A_100kHz,Cgd,data/run05/raw/ac/r05a_ac_vd1p2_vgcenter_m0p7_100khz_mesh1.csv,3,36.0,1,300,1.2,-0.7,100000.0,1.68296275233783e-16,1.68296275233771e-16,PASS,,,,
R5A_1MHz,Cgd,data/run05/raw/ac/r05a_ac_vd1p2_vgcenter_m0p7_1mhz_mesh1.csv,3,36.0,1,300,1.2,-0.7,1000000.0,1.68296275236577e-16,1.6829627523656e-16,PASS,,,,
R5A_10MHz,Cgd,data/run05/raw/ac/r05a_ac_vd1p2_vgcenter_m0p7_10mhz_mesh1.csv,3,36.0,1,300,1.2,-0.7,10000000.0,1.6829627551591003e-16,1.68296275515898e-16,PASS,,,,
R5A_Mesh2_1MHz,Cgd,data/run05/raw/ac/r05a_ac_vd1p2_vgcenter_m0p7_1mhz_mesh2.csv,3,36.0,2,300,1.2,-0.7,1000000.0,1.67847784107607e-16,1.67847784107596e-16,PASS,,,,
R5B_Cgd_MEB31,Cgd,data/run05/raw/ac/r05b_ac_meb31_1mhz.csv,3,31.0,1,300,1.2,-0.7,1000000.0,1.83825485816165e-16,1.83825485816151e-16,PASS,,,,
R5B_Cgd_MEB33.5,Cgd,data/run05/raw/ac/r05b_ac_meb33p5_1mhz.csv,3,33.5,1,300,1.2,-0.7,1000000.0,1.76083194345954e-16,1.7608319434594003e-16,PASS,,,,
R5B_Cgd_MEB36,Cgd,data/run05/raw/ac/r05b_ac_meb36_1mhz.csv,3,36.0,1,300,1.2,-0.7,1000000.0,1.68296275236577e-16,1.6829627523656e-16,PASS,,,,
R5B_Cgd_MEB38.5,Cgd,data/run05/raw/ac/r05b_ac_meb38p5_1mhz.csv,3,38.5,1,300,1.2,-0.7,1000000.0,1.60298588968278e-16,1.60298588968264e-16,PASS,,,,
R5B_Cgd_MEB41,Cgd,data/run05/raw/ac/r05b_ac_meb41_1mhz.csv,3,41.0,1,300,1.2,-0.7,1000000.0,1.52300915115629e-16,1.52300915115616e-16,PASS,,,,
R5B_GIDL_MEB31,GIDL,data/run05/raw/gidl/r05b_gidl_meb31_vd1p2_vg0_m0p7.csv,141,31.0,3,300,1.2,-0.7,,1.9624468e-14,,PASS,,,,
R5B_GIDL_MEB33.5,GIDL,data/run05/raw/gidl/r05b_gidl_meb33p5_vd1p2_vg0_m0p7.csv,141,33.5,3,300,1.2,-0.7,,1.6919999e-14,,PASS,,,,
R5B_GIDL_MEB36,GIDL,data/run05/raw/gidl/r05b_gidl_meb36_vd1p2_vg0_m0p7.csv,141,36.0,3,300,1.2,-0.7,,1.3777737e-14,,PASS,,,,
R5B_GIDL_MEB38.5,GIDL,data/run05/raw/gidl/r05b_gidl_meb38p5_vd1p2_vg0_m0p7.csv,141,38.5,3,300,1.2,-0.7,,1.0550537e-14,,PASS,,,,
R5B_GIDL_MEB41,GIDL,data/run05/raw/gidl/r05b_gidl_meb41_vd1p2_vg0_m0p7.csv,141,41.0,3,300,1.2,-0.7,,7.7683012e-15,,PASS,,,,
R5B_Ewall_MEB31,E_wall_max,data/run05/raw/field/r05b_efield_wall_y0p116_meb31.csv,251,31.0,3,300,1.2,-0.7,,871969.09,0.03396875,PASS,,,,
R5B_Ewall_MEB33.5,E_wall_max,data/run05/raw/field/r05b_efield_wall_y0p116_meb33p5.csv,251,33.5,3,300,1.2,-0.7,,869869.56,0.036312498,PASS,,,,
R5B_Ewall_MEB36,E_wall_max,data/run05/raw/field/r05b_efield_wall_y0p116_meb36.csv,251,36.0,3,300,1.2,-0.7,,867936.6,0.03865625,PASS,,,,
R5B_Ewall_MEB38.5,E_wall_max,data/run05/raw/field/r05b_efield_wall_y0p116_meb38p5.csv,251,38.5,3,300,1.2,-0.7,,863581.96,0.041000001,PASS,,,,
R5B_Ewall_MEB41,E_wall_max,data/run05/raw/field/r05b_efield_wall_y0p116_meb41.csv,251,41.0,3,300,1.2,-0.7,,857194.93,0.0425625,PASS,,,,
R5B_DC_MEB33.5,DC_guardrail,data/run05/raw/dc/,301,33.5,1,300,,,,4.1415866e-06,47.1347896897376,PASS,86.0,86.0,0.9999889076442298,0.9999822006401604
R5B_DC_MEB38.5,DC_guardrail,data/run05/raw/dc/,301,38.5,1,300,,,,4.1409856e-06,47.15424041293425,PASS,86.0,86.0,0.9999904177594079,0.9999814842577727
