X_um,AbsElectricField_V_per_cm
0.0,291407.77
0.00037499887,291245.18
0.0015625,291019.44
0.0019374989,291692.14
0.003125,294039.6
0.0034999989,295169.86
0.0046875002,299015.02
0.0050624991,300614.24
0.0062500001,305989.42
0.006624999,308071.51
0.0078125,315020.23
0.0081874989,317601.96
0.0093750004,326180.4
0.0097499993,329282.07
0.0109375,339561.27
0.011312499,343207.47
0.0125,355276.0
0.012874999,359496.26
0.0140625,373463.34
0.014437499,378292.65
0.015625,394291.81
0.015999999,399771.0
0.0171875,417964.42
0.017562499,424140.13
0.018750001,444723.39
0.019125,451647.07
0.020312499,474853.22
0.020687498,482578.12
0.021875,508677.76
0.022249999,517251.44
0.0234375,546540.33
0.023812499,555988.15
0.025,588741.21
0.025374999,599032.06
0.026562501,635365.99
0.0269375,646345.29
0.028124999,685793.65
0.028499998,697475.39
0.0296875,735690.04
0.030437501,754241.04
0.03125,784458.05
0.031624999,799517.99
0.032031249,810484.53
0.032406248,819763.7
0.032812499,830491.83
0.033187501,838120.45
0.033593751,846487.1
0.03396875,852285.66
0.034375001,858051.8
0.03475,862037.27
0.03515625,865311.26
0.035531249,867671.92
0.035937499,868855.27
0.036312498,869869.56
0.036718749,869460.84
0.037093751,869419.49
0.037500001,867877.26
0.037875,867034.91
0.038281251,864717.29
0.03865625,863274.33
0.0390625,860436.52
0.039437499,858538.67
0.039843749,855349.29
0.040218748,853095.64
0.040624999,849659.33
0.041000001,847112.52
0.041406251,843488.64
0.04178125,840684.53
0.042187501,836902.43
0.0425625,833858.17
0.04296875,829927.74
0.043343749,826648.31
0.043749999,822567.77
0.044124998,819051.0
0.044531249,814812.17
0.044906251,811052.76
0.045312501,806644.89
0.0456875,802637.37
0.046093751,798049.81
0.04646875,793790.88
0.046875,789014.96
0.047249999,784505.06
0.047656249,779535.4
0.048031248,774779.72
0.048437499,769614.99
0.048812501,764623.8
0.049218751,759267.14
0.04959375,754055.65
0.050000001,748514.64
0.050375,743102.42
0.05078125,737388.8
0.051156249,731798.9
0.051562499,725927.98
0.051937498,720185.88
0.052343749,714175.92
0.052718751,708308.46
0.053125001,702179.8
0.0535,696214.2
0.053906251,689988.53
0.05428125,683951.53
0.0546875,677651.11
0.055062499,671568.27
0.055468749,665215.3
0.055843748,659110.52
0.056249999,652726.57
0.056625001,646621.75
0.057031251,640227.31
0.05740625,634142.19
0.057812501,627756.41
0.0581875,621708.5
0.05859375,615348.91
0.058968749,609353.55
0.059374999,603036.04
0.059749998,597106.53
0.060156249,590845.33
0.060531251,584993.09
0.060937501,578800.89
0.0613125,573035.71
0.061718751,566923.86
0.06209375,561254.04
0.0625,555232.77
0.062875003,549665.14
0.063281253,543743.51
0.063656248,538283.27
0.064062499,532468.62
0.064437501,527118.98
0.064843751,521415.68
0.065218747,516177.98
0.065624997,510587.26
0.066,505461.69
0.06640625,499983.42
0.066781253,494969.78
0.067187503,489603.88
0.067562498,484702.18
0.067968749,479449.39
0.068343751,474660.26
0.068750001,469521.34
0.069124997,464848.59
0.069531247,459816.43
0.06990625,453120.88
0.0703125,447933.51
0.071125001,438878.58
0.071874999,432250.28
0.072249994,427945.35
0.073437497,413173.12
0.0738125,409199.04
0.075000003,396786.93
0.075374998,393002.48
0.076562501,381259.18
0.076937497,377657.32
0.078125,366509.04
0.078499995,363075.38
0.079687499,352476.47
0.080062494,349194.63
0.081249997,339100.56
0.081625,335952.88
0.082812503,326317.13
0.083187498,323285.3
0.084375001,314061.32
0.084749997,311127.6
0.0859375,302273.33
0.086312495,299422.46
0.087499999,290906.46
0.087874994,288127.92
0.089062497,279935.7
0.0894375,277225.83
0.090625003,269363.82
0.090999998,266726.91
0.092187501,259222.02
0.092562497,256669.9
0.09375,249563.88
0.094124995,247113.85
0.095312499,240454.09
0.095687494,238125.87
0.096874997,231955.73
0.09725,229768.23
0.098437503,224119.91
0.098812498,222088.69
0.1,216979.8
0.100375,215115.39
0.1015625,210548.58
0.1019375,208855.3
0.103125,204818.36
0.10349999,203292.75
0.1046875,199755.16
0.1050625,198382.22
0.10625,195281.38
0.106625,194026.39
0.1078125,191231.89
0.1081875,190024.53
0.109375,187262.52
0.10975,185971.08
0.1109375,182690.96
0.11131249,181090.87
0.1125,176290.29
0.112875,174053.46
0.1140625,166189.47
0.1144375,162974.08
0.115625,150320.25
0.116,146082.09
0.1171875,128511.08
0.1175625,123730.55
0.11875,102551.77
0.11912499,98647.951
0.1203125,81566.02
0.1206875,78995.295
0.121875,73447.106
0.12225,71286.986
0.1234375,64486.839
0.1238125,62494.088
0.125,55008.954
0.125375,53273.778
0.12656251,46997.038
0.12693751,45516.084
0.128125,40334.119
0.1285,39079.242
0.1296875,34802.964
0.13006251,33740.526
0.13124999,30194.747
0.131625,29293.083
0.1328125,26333.98
0.1331875,25565.677
0.13437501,23079.311
0.13475001,22421.437
0.1359375,20318.231
0.1363125,19751.818
0.1375,17961.185
0.13787501,17470.348
0.13906249,15936.719
0.1394375,15380.502
0.140625,14107.128
0.14300001,11342.585
0.14375,10735.841
0.1445,10239.641
0.15000001,7967.628
0.15350001,6254.2915
0.15625,5341.3037
0.15975,4263.8912
0.16249999,3696.8417
0.16600001,2940.8342
0.16875,2559.7003
0.17225,2029.7043
0.175,1765.133
0.17850001,1399.22
0.18125001,1214.5867
0.18475001,971.47914
0.1875,846.04319
0.191,702.91696
0.19374999,627.05347
0.19725001,553.78081
0.2,512.73596
