gate_V,drain_TotalCurrent_A
0.0,-4.5916777e-17
-0.005,-1.0447079e-16
-0.01,-2.3729876e-17
-0.015,1.2391988000000002e-16
-0.02,-3.0240682000000005e-16
-0.025,-2.7847796e-16
-0.03,1.3245993e-16
-0.035,2.861348e-16
-0.04,4.9573852e-17
-0.045,3.8846123000000003e-16
-0.05,2.095141e-16
-0.055,2.5686692000000003e-16
-0.06,-6.4953369e-17
-0.065,4.1889633000000003e-16
-0.07,2.6953606e-16
-0.075,-1.8197803e-16
-0.08,1.3722815e-16
-0.085,-1.096131e-16
-0.09,-7.0567556e-17
-0.095,-3.7655782000000005e-16
-0.1,2.7810801e-16
-0.105,-1.4496546000000002e-16
-0.11,-3.3957205e-17
-0.115,1.6274663000000002e-16
-0.12,-1.2131455000000001e-17
-0.125,-2.4647436000000004e-16
-0.13,-6.7416626000000005e-16
-0.135,-2.0362899e-17
-0.14,3.9391304e-16
-0.145,-7.3905223e-17
-0.15,3.3601896000000002e-16
-0.155,1.2896318e-16
-0.16,4.785324e-16
-0.165,5.7916835e-17
-0.17,3.4280692e-16
-0.175,-1.6557132e-17
-0.18,-1.6118174000000002e-16
-0.185,-2.6068154000000005e-16
-0.19,-1.5903984000000002e-16
-0.195,-2.0630648e-16
-0.2,8.295113400000001e-17
-0.205,7.7236446e-17
-0.21,1.4786974000000002e-16
-0.215,5.3075465e-16
-0.22,-2.5186737e-17
-0.225,1.58699e-16
-0.23,1.0738626000000001e-16
-0.235,5.448673800000001e-16
-0.24,5.2162137e-16
-0.245,-2.3731793e-16
-0.25,-1.46698e-16
-0.255,-1.9386256e-17
-0.26,-2.0439185000000002e-16
-0.265,-9.4385324e-17
-0.27,1.6772699000000002e-16
-0.275,2.8185487000000004e-16
-0.28,1.0801963000000001e-16
-0.285,-4.1765504e-17
-0.29,1.0101416e-16
-0.295,-1.3066907e-16
-0.3,-1.523971e-16
-0.305,-1.4599487000000002e-16
-0.31,4.933765600000001e-16
-0.315,-5.068974200000001e-16
-0.32,6.052530800000001e-16
-0.325,3.526303e-16
-0.33,1.8382007e-16
-0.335,-3.4566584e-16
-0.34,2.5526351000000004e-16
-0.345,2.7811809e-16
-0.35,-2.2000854000000002e-16
-0.355,-2.1371063e-16
-0.36,7.581625500000001e-16
-0.365,4.717427e-16
-0.37,3.9524923000000005e-16
-0.375,4.7731475e-16
-0.38,9.697447300000001e-17
-0.385,7.554567200000001e-16
-0.39,1.5583165e-16
-0.395,1.8051202e-16
-0.4,1.4077625e-16
-0.405,6.377526600000001e-16
-0.41,3.6865669e-16
-0.415,5.274441800000001e-16
-0.42,8.6563685e-17
-0.425,4.3259581000000003e-16
-0.43,-2.8045746000000004e-16
-0.435,3.1206654000000004e-16
-0.44,7.290723e-16
-0.445,6.5463842e-16
-0.45,1.193278e-15
-0.455,7.0711564e-16
-0.46,1.9029229000000001e-16
-0.465,9.9312668e-16
-0.47,2.186992e-16
-0.475,4.6398706e-16
-0.48,7.9453255e-16
-0.485,6.2081276e-16
-0.49,8.776148900000001e-16
-0.495,1.5473766e-15
-0.5,8.692909e-16
-0.505,1.3018071e-15
-0.51,1.2413588e-15
-0.515,1.2377495e-15
-0.52,1.5525367e-15
-0.525,1.3720477e-15
-0.53,7.493752e-16
-0.535,1.3062068e-15
-0.54,1.6440678e-15
-0.545,2.0564994e-15
-0.55,1.8372744e-15
-0.555,1.6792362e-15
-0.56,1.9620565e-15
-0.565,1.9349979e-15
-0.57,2.1338665e-15
-0.575,2.6484199e-15
-0.58,2.1726955e-15
-0.585,2.5163748e-15
-0.59,2.4544989e-15
-0.595,2.8951833e-15
-0.6,3.3783622e-15
-0.605,2.8766439e-15
-0.61,3.3298454e-15
-0.615,3.2346832e-15
-0.62,4.1360823e-15
-0.625,3.7955099e-15
-0.63,4.132686e-15
-0.635,4.3433219e-15
-0.64,4.4713246e-15
-0.645,4.8522326e-15
-0.65,4.795341e-15
-0.655,5.2817658e-15
-0.66,5.4412604e-15
-0.665,6.0914835e-15
-0.67,6.1466301e-15
-0.675,5.5858339e-15
-0.68,6.4945465e-15
-0.685,7.2354896e-15
-0.69,7.1165251e-15
-0.695,7.1545664e-15
-0.7,7.7683012e-15
